uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,1,2016-04-27T13:58:54.098Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1412,nariz_preg,CENTER_LEFT,oreja_preg,CENTER_RIGHT,5237,touch_object,0,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,2,2016-04-27T13:59:08.267Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,923,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,1787,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,3,2016-04-27T13:59:18.413Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,744,verde_preg,CENTER_RIGHT,amarillo_preg,CENTER_LEFT,1328,touch_object,0,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,4,2016-04-27T13:59:27.829Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,742,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,2998,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,5,2016-04-27T13:59:39.014Z,1,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,558,sonreir_preg,CENTER_LEFT,correr_preg,CENTER_RIGHT,1249,touch_object,0,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,6,2016-04-27T13:59:48.165Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,774,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,8996,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,7,2016-04-27T14:00:05.348Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,484,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,2125,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,8,2016-04-27T14:00:21.035Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,387,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,1287,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,9,2016-04-27T14:00:30.149Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,397,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,10439,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,10,2016-04-27T14:00:48.417Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,217,lavar_preg,CENTER_LEFT,lavar_preg,CENTER_LEFT,3298,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,11,2016-04-27T14:00:59.351Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,247,pescar_preg,CENTER_LEFT,nadar_preg,CENTER_RIGHT,1879,touch_object,0,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,12,2016-04-27T14:01:08.801Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,63,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,1712,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,13,2016-04-27T14:01:18.019Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,28,oscuro_preg,CENTER_LEFT,redondo_preg,CENTER_RIGHT,3444,touch_object,0,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,14,2016-04-27T14:01:28.820Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,1166,canguro_preg,CENTER_RIGHT,canguro_preg,CENTER_RIGHT,4052,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,15,2016-04-27T14:01:41.470Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,233,alto_preg,CENTER_RIGHT,lleno_preg,CENTER_LEFT,1844,touch_object,0,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,16,2016-04-27T14:01:50.871Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,629,inflar_preg,CENTER_LEFT,inflar_preg,CENTER_LEFT,10456,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,17,2016-04-27T14:02:09.405Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,416,avion_preg,CENTER_RIGHT,colectivo_preg,CENTER_LEFT,2149,touch_object,0,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,18,2016-04-27T14:02:19.305Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,607,caballo_preg,CENTER_LEFT,caballo_preg,CENTER_LEFT,2263,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,19,2016-04-27T14:02:29.607Z,0,2,block1,beach,12,2,peludo_preg,,rayado_preg,,,,,,355,peludo_preg,CENTER_LEFT,peludo_preg,CENTER_LEFT,2787,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,20,2016-04-27T14:02:40.208Z,0,2,block1,beach,13,2,helicoptero_preg,,accidente_preg,,,,,,188,accidente_preg,CENTER_RIGHT,helicoptero_preg,CENTER_LEFT,4767,touch_object,0,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,21,2016-04-27T14:02:52.490Z,0,2,block1,beach,14,2,casa_preg,,comida_preg,,,,,,3174,comida_preg,CENTER_RIGHT,comida_preg,CENTER_RIGHT,2688,touch_object,1,1
056034E5488243298AB43221CA355882,Unknown,2016-04-27,"",Espanol_Grupo1_preg,505,2,2016-04-27T13:58:53.000Z,2016-04-27T14:09:23.000Z,22,2016-04-27T14:03:11.855Z,0,3,block2,mountain,1,2,rio_preg,,bosque_preg,,,,,,509,rio_preg,CENTER_LEFT,rio_preg,CENTER_LEFT,3035,touch_object,1,1
