uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,1,2016-04-28T14:05:14.897Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,3578,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,15294,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,2,2016-04-28T14:05:41.359Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,2078,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,13085,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,3,2016-04-28T14:06:03.943Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1435,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,19805,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,4,2016-04-28T14:06:32.629Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1368,abrir_preg,CENTER_LEFT,tirar_preg,CENTER_RIGHT,32048,touch_object,0,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,5,2016-04-28T14:07:13.399Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,2247,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,12325,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,6,2016-04-28T14:07:40.779Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,896,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,3146,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,7,2016-04-28T14:07:52.333Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,1271,barrer_preg,CENTER_LEFT,barrer_preg,CENTER_LEFT,3397,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,8,2016-04-28T14:08:04.450Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,1000,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,4773,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,9,2016-04-28T14:08:17.686Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,1778,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,16587,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,10,2016-04-28T14:08:43.536Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,1308,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,1812,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,11,2016-04-28T14:08:54.086Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,1828,redondo_preg,CENTER_RIGHT,oscuro_preg,CENTER_LEFT,5169,touch_object,0,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,12,2016-04-28T14:09:08.438Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,1477,pinguino_preg,CENTER_LEFT,pinguino_preg,CENTER_LEFT,4587,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,13,2016-04-28T14:09:21.954Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,978,lleno_preg,CENTER_LEFT,alto_preg,CENTER_RIGHT,3820,touch_object,0,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,14,2016-04-28T14:09:34.089Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,1290,atajar_preg,CENTER_RIGHT,atajar_preg,CENTER_RIGHT,23842,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,15,2016-04-28T14:10:06.673Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,543,colectivo_preg,CENTER_LEFT,colectivo_preg,CENTER_LEFT,1613,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,16,2016-04-28T14:10:16.241Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,354,gato_preg,CENTER_RIGHT,gato_preg,CENTER_RIGHT,1428,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,17,2016-04-28T14:10:25.475Z,0,2,block1,beach,12,2,peludo_preg,,rayado_preg,,,,,,3207,rayado_preg,CENTER_RIGHT,rayado_preg,CENTER_RIGHT,1853,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,18,2016-04-28T14:10:37.977Z,0,2,block1,beach,13,2,helicoptero_preg,,accidente_preg,,,,,,1830,helicoptero_preg,CENTER_LEFT,helicoptero_preg,CENTER_LEFT,2774,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,19,2016-04-28T14:10:49.993Z,0,2,block1,beach,14,2,casa_preg,,comida_preg,,,,,,796,casa_preg,CENTER_LEFT,casa_preg,CENTER_LEFT,2165,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,20,2016-04-28T14:11:07.836Z,0,3,block2,mountain,1,2,rio_preg,,bosque_preg,,,,,,809,bosque_preg,CENTER_RIGHT,bosque_preg,CENTER_RIGHT,3635,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,21,2016-04-28T14:11:19.744Z,0,3,block2,mountain,2,2,rojo_preg,,grande_preg,,,,,,2681,grande_preg,CENTER_RIGHT,grande_preg,CENTER_RIGHT,3888,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,22,2016-04-28T14:11:33.745Z,0,3,block2,mountain,3,2,tijera_preg,,bicicleta_preg,,,,,,329,tijera_preg,CENTER_LEFT,tijera_preg,CENTER_LEFT,3506,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,23,2016-04-28T14:11:44.996Z,0,3,block2,mountain,4,2,atar_preg,,pisar_preg,,,,,,460,atar_preg,CENTER_LEFT,pisar_preg,CENTER_RIGHT,14165,touch_object,0,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,24,2016-04-28T14:12:06.948Z,0,3,block2,mountain,5,2,romper_preg,,tocar_preg,,,,,,718,tocar_preg,CENTER_RIGHT,tocar_preg,CENTER_RIGHT,5006,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,25,2016-04-28T14:12:20.115Z,0,3,block2,mountain,6,2,hombre_preg,,pato_preg,,,,,,1660,pato_preg,CENTER_RIGHT,pato_preg,CENTER_RIGHT,1555,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,26,2016-04-28T14:12:30.765Z,0,3,block2,mountain,7,2,grupo_preg,,medico_preg,,,,,,1130,grupo_preg,CENTER_LEFT,medico_preg,CENTER_RIGHT,11385,touch_object,0,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,27,2016-04-28T14:12:50.632Z,0,3,block2,mountain,8,2,viejo_preg,,descalzo_preg,,,,,,2079,descalzo_preg,CENTER_RIGHT,descalzo_preg,CENTER_RIGHT,4786,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,28,2016-04-28T14:13:04.967Z,0,3,block2,mountain,9,2,boca_preg,,cabeza_preg,,,,,,687,boca_preg,CENTER_LEFT,boca_preg,CENTER_LEFT,2963,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,29,2016-04-28T14:13:16.034Z,0,3,block2,mountain,10,2,gorro_preg,,camion_preg,,,,,,488,camion_preg,CENTER_RIGHT,camion_preg,CENTER_RIGHT,1584,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,30,2016-04-28T14:13:25.568Z,0,3,block2,mountain,11,2,rota_preg,,pesada_preg,,,,,,1509,pesada_preg,CENTER_RIGHT,pesada_preg,CENTER_RIGHT,4331,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,31,2016-04-28T14:13:38.853Z,0,3,block2,mountain,12,2,sucia_preg,,limpia_preg,,,,,,1847,sucia_preg,CENTER_LEFT,sucia_preg,CENTER_LEFT,2792,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,32,2016-04-28T14:13:50.903Z,0,3,block2,mountain,13,2,canilla_preg,,vela_preg,,,,,,344,vela_preg,CENTER_RIGHT,vela_preg,CENTER_RIGHT,1953,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,33,2016-04-28T14:14:00.605Z,0,3,block2,mountain,14,2,lapiz_preg,,pantalon_preg,,,,,,405,pantalon_preg,CENTER_RIGHT,pantalon_preg,CENTER_RIGHT,1964,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,34,2016-04-28T14:14:12.137Z,0,4,block3,desert,1,2,mueble_preg,,bolso_preg,,,,,,918,mueble_preg,CENTER_LEFT,bolso_preg,CENTER_RIGHT,8326,touch_object,0,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,35,2016-04-28T14:14:28.721Z,0,4,block3,desert,2,2,muneca_preg,,mochila_preg,,,,,,2074,muneca_preg,CENTER_LEFT,muneca_preg,CENTER_LEFT,1888,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,36,2016-04-28T14:14:40.156Z,0,4,block3,desert,3,2,perro_preg,,nene_preg,,,,,,667,nene_preg,CENTER_RIGHT,nene_preg,CENTER_RIGHT,2531,touch_object,1,1
0C94D5C81ADD4FFB89DC0B3558AB1812,Unknown,2016-04-28,"",Espanol_Grupo2_preg,804,1,2016-04-28T14:05:14.000Z,2016-04-28T14:16:48.000Z,37,2016-04-28T14:14:50.790Z,0,4,block3,desert,4,2,patear_preg,,arrancar_preg,,,,,,4181,patear_preg,CENTER_LEFT,patear_preg,CENTER_LEFT,3383,touch_object,1,1
