uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,1,2016-04-27T18:38:03.433Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,916,nariz_preg,CENTER_LEFT,oreja_preg,CENTER_RIGHT,4336,touch_object,0,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,2,2016-04-27T18:38:16.161Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1241,nariz_preg,CENTER_LEFT,oreja_preg,CENTER_RIGHT,1844,touch_object,0,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,3,2016-04-27T18:38:26.560Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,985,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,2903,touch_object,1,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,4,2016-04-27T18:38:37.845Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,12925,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,4931,touch_object,1,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,5,2016-04-27T18:39:03.098Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,2047,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,2531,touch_object,1,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,6,2016-04-27T18:39:15.096Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,2978,tirar_preg,CENTER_RIGHT,abrir_preg,CENTER_LEFT,3044,touch_object,0,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,7,2016-04-27T18:39:28.498Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,40360,tirar_preg,CENTER_RIGHT,abrir_preg,CENTER_LEFT,6360,touch_object,0,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,8,2016-04-27T18:40:22.519Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1372,tirar_preg,CENTER_RIGHT,abrir_preg,CENTER_LEFT,10920,touch_object,0,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,9,2016-04-27T18:40:42.135Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,928,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,5237,touch_object,1,1
11F167924E274B5FAAC7A2A320BBDCD2,Unknown,2016-04-27,"",Espanol_Grupo1_preg,755,1,2016-04-27T18:38:03.000Z,,10,2016-04-27T18:41:01.095Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,357,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,1488,touch_object,1,1
