uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,1,2016-05-06T12:58:43.101Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1029,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,8717,touch_object,1,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,2,2016-05-06T12:59:00.490Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1110,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,1743,touch_object,0,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,3,2016-05-06T12:59:10.651Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,396,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,2642,touch_object,1,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,4,2016-05-06T12:59:21.100Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1090,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,7044,touch_object,1,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,5,2016-05-06T12:59:36.636Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1088,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,5158,touch_object,1,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,6,2016-05-06T12:59:52.932Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1185,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,2886,touch_object,1,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,7,2016-05-06T13:00:04.470Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1523,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,5672,touch_object,1,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,8,2016-05-06T13:00:19.154Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,845,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,1397,touch_object,1,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,9,2016-05-06T13:00:28.821Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,969,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,1476,touch_object,1,1
187B5FC323C644238121627A472545F7,Unknown,2016-05-06,"",Espanol_Grupo2_imp,606,1,2016-05-06T12:58:42.000Z,2016-05-06T13:07:26.000Z,10,2016-05-06T13:00:38.690Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,881,tortuga_imp,CENTER_LEFT,mariposa_imp,CENTER_RIGHT,1364,touch_object,0,1
