uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,1,2016-05-06T18:44:11.006Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1918,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,2729,touch_object,1,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,2,2016-05-06T18:44:23.182Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,598,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,2014,touch_object,1,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,3,2016-05-06T18:44:33.216Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,405,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,2464,touch_object,1,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,4,2016-05-06T18:44:43.500Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,443,abrir_preg,CENTER_LEFT,tirar_preg,CENTER_RIGHT,2096,touch_object,0,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,5,2016-05-06T18:44:53.352Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,263,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,2044,touch_object,1,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,6,2016-05-06T18:45:08.345Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,475,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,1548,touch_object,1,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,7,2016-05-06T18:45:17.805Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,316,barrer_preg,CENTER_LEFT,barrer_preg,CENTER_LEFT,1943,touch_object,1,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,8,2016-05-06T18:45:27.519Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,321,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,1145,touch_object,1,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,9,2016-05-06T18:45:36.437Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,337,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,1288,touch_object,1,1
1F128837B8344877B033C08B0C1EA87C,Unknown,2016-05-06,"",Espanol_Grupo2_preg,615,1,2016-05-06T18:44:10.000Z,2016-05-06T18:51:57.000Z,10,2016-05-06T18:45:45.487Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,330,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,1495,touch_object,1,1
