uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,1,2016-04-27T20:18:57.879Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,12262,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,10294,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,2,2016-04-27T20:19:28.282Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,5379,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,11593,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,3,2016-04-27T20:19:52.559Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,3386,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,19661,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,4,2016-04-27T20:20:22.895Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2208,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,11424,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,5,2016-04-27T20:20:52.067Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,4464,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3901,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,6,2016-04-27T20:21:07.814Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,789,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2571,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,7,2016-04-27T20:21:18.481Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1819,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,4211,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,8,2016-04-27T20:21:31.799Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,213,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,3097,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,9,2016-04-27T20:21:42.400Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,178,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1968,touch_object,1,1
2296CCA05CD448839058A5837769AADA,Unknown,2016-04-27,"",Espanol_Grupo1_imp,550,1,2016-04-27T20:18:56.000Z,2016-04-27T20:29:25.000Z,10,2016-04-27T20:21:51.833Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,259,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,4797,touch_object,0,1
