uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,1,2016-05-06T13:47:26.441Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1133,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,2322,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,2,2016-05-06T13:47:37.492Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1529,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,3067,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,3,2016-05-06T13:47:49.509Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2565,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,3172,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,4,2016-05-06T13:48:02.659Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,497,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,2784,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,5,2016-05-06T13:48:18.338Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,257,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,1746,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,6,2016-05-06T13:48:27.828Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,255,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,4226,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,7,2016-05-06T13:48:39.729Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,565,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,2913,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,8,2016-05-06T13:48:50.662Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,990,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,1857,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,9,2016-05-06T13:49:00.963Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,959,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,1684,touch_object,1,1
315BD9FFA6B4476E924C6C8D9ACBD4EB,Unknown,2016-05-06,"",Espanol_Grupo2_imp,609,1,2016-05-06T13:47:25.000Z,2016-05-06T13:56:46.000Z,10,2016-05-06T13:49:11.030Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,608,redondo_imp,CENTER_RIGHT,redondo_imp,CENTER_RIGHT,1683,touch_object,1,1
