uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,1,2016-04-27T17:58:24.292Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1752,nariz_preg,CENTER_LEFT,oreja_preg,CENTER_RIGHT,12124,touch_object,0,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,2,2016-04-27T17:58:45.765Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1010,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,21793,touch_object,1,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,3,2016-04-27T17:59:16.013Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,7953,verde_preg,CENTER_RIGHT,amarillo_preg,CENTER_LEFT,6973,touch_object,0,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,4,2016-04-27T17:59:38.266Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,3127,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,10481,touch_object,1,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,5,2016-04-27T17:59:59.299Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,2884,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,14760,touch_object,1,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,6,2016-04-27T18:00:24.400Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,3912,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,9104,touch_object,1,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,7,2016-04-27T18:00:59.423Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,3069,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,4786,touch_object,1,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,8,2016-04-27T18:01:14.736Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,997,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,3003,touch_object,1,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,9,2016-04-27T18:01:26.170Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,3781,lavar_preg,CENTER_LEFT,comer_preg,CENTER_RIGHT,4421,touch_object,0,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,10,2016-04-27T18:01:41.721Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,1368,pescar_preg,CENTER_LEFT,nadar_preg,CENTER_RIGHT,2256,touch_object,0,1
3333D98FE3B64303B415EB6F4214ECD8,Unknown,2016-04-27,"",Espanol_Grupo1_preg,753,1,2016-04-27T17:58:23.000Z,2016-04-27T18:10:10.000Z,11,2016-04-27T18:01:52.705Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,1403,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,1662,touch_object,1,1
