uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,1,2016-04-28T13:46:38.366Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1693,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,7274,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,2,2016-04-28T13:46:55.050Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1320,amarillo_preg,CENTER_LEFT,verde_preg,CENTER_RIGHT,1848,touch_object,0,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,3,2016-04-28T13:47:05.564Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1065,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,3488,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,4,2016-04-28T13:47:17.529Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,732,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,2230,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,5,2016-04-28T13:47:27.948Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,874,abrir_preg,CENTER_LEFT,tirar_preg,CENTER_RIGHT,3952,touch_object,0,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,6,2016-04-28T13:47:40.148Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1289,abrir_preg,CENTER_LEFT,tirar_preg,CENTER_RIGHT,1810,touch_object,0,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,7,2016-04-28T13:47:50.566Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,570,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,1662,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,8,2016-04-28T13:48:02.729Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,620,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,3480,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,9,2016-04-28T13:48:14.316Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,2361,barrer_preg,CENTER_LEFT,clavar_preg,CENTER_RIGHT,3493,touch_object,0,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,10,2016-04-28T13:48:27.535Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,913,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,4774,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,11,2016-04-28T13:48:40.651Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,536,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,3555,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,12,2016-04-28T13:48:52.202Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,585,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,1816,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,13,2016-04-28T13:49:02.035Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,2441,redondo_preg,CENTER_RIGHT,redondo_preg,CENTER_RIGHT,4268,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,14,2016-04-28T13:49:16.153Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,7512,pinguino_preg,CENTER_LEFT,pinguino_preg,CENTER_LEFT,3430,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,15,2016-04-28T13:49:34.522Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,457,lleno_preg,CENTER_LEFT,alto_preg,CENTER_RIGHT,4053,touch_object,0,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,16,2016-04-28T13:49:46.388Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,311,atajar_preg,CENTER_RIGHT,inflar_preg,CENTER_LEFT,3106,touch_object,0,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,17,2016-04-28T13:49:57.189Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,523,colectivo_preg,CENTER_LEFT,colectivo_preg,CENTER_LEFT,1432,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,18,2016-04-28T13:50:06.572Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,330,gato_preg,CENTER_RIGHT,gato_preg,CENTER_RIGHT,1813,touch_object,1,1
400BF8027F2E49BBBE4B7F424F24E813,Unknown,2016-04-28,"",Espanol_Grupo2_preg,803,1,2016-04-28T13:46:37.000Z,2016-04-28T13:56:29.000Z,19,2016-04-28T13:50:16.190Z,0,2,block1,beach,12,2,peludo_preg,,rayado_preg,,,,,,2723,rayado_preg,CENTER_RIGHT,rayado_preg,CENTER_RIGHT,3407,touch_object,1,1
