uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,1,2016-05-02T17:02:41.441Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,3610,oreja_preg,CENTER_RIGHT,nariz_preg,CENTER_LEFT,15767,touch_object,0,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,2,2016-05-02T17:03:08.262Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,22,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,12335,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,3,2016-05-02T17:03:28.029Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1558,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,13188,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,4,2016-05-02T17:03:50.213Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1750,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,9750,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,5,2016-05-02T17:04:09.165Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,741,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,9812,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,6,2016-05-02T17:04:37.707Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,1171,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,8662,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,7,2016-05-02T17:04:55.001Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,774,barrer_preg,CENTER_LEFT,barrer_preg,CENTER_LEFT,8587,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,8,2016-05-02T17:05:11.784Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,799,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,5215,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,9,2016-05-02T17:05:25.218Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,1315,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,3258,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,10,2016-05-02T17:05:37.202Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,780,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,3557,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,11,2016-05-02T17:05:48.970Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,1268,redondo_preg,CENTER_RIGHT,oscuro_preg,CENTER_LEFT,5155,touch_object,0,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,12,2016-05-02T17:06:02.737Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,764,pinguino_preg,CENTER_LEFT,pinguino_preg,CENTER_LEFT,4769,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,13,2016-05-02T17:06:15.738Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,1498,lleno_preg,CENTER_LEFT,lleno_preg,CENTER_LEFT,3581,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,14,2016-05-02T17:06:28.272Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,1620,atajar_preg,CENTER_RIGHT,atajar_preg,CENTER_RIGHT,8764,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,15,2016-05-02T17:06:46.125Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,1212,colectivo_preg,CENTER_LEFT,colectivo_preg,CENTER_LEFT,3351,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,16,2016-05-02T17:06:58.107Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,1489,gato_preg,CENTER_RIGHT,gato_preg,CENTER_RIGHT,3267,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,17,2016-05-02T17:07:10.291Z,0,2,block1,beach,12,2,peludo_preg,,rayado_preg,,,,,,1237,rayado_preg,CENTER_RIGHT,peludo_preg,CENTER_LEFT,5084,touch_object,0,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,18,2016-05-02T17:07:23.975Z,0,2,block1,beach,13,2,helicoptero_preg,,accidente_preg,,,,,,1120,helicoptero_preg,CENTER_LEFT,helicoptero_preg,CENTER_LEFT,4286,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,19,2016-05-02T17:07:36.809Z,0,2,block1,beach,14,2,casa_preg,,comida_preg,,,,,,703,casa_preg,CENTER_LEFT,casa_preg,CENTER_LEFT,2163,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,20,2016-05-02T17:08:05.050Z,0,3,block2,mountain,1,2,rio_preg,,bosque_preg,,,,,,1145,bosque_preg,CENTER_RIGHT,bosque_preg,CENTER_RIGHT,3290,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,21,2016-05-02T17:08:16.962Z,0,3,block2,mountain,2,2,rojo_preg,,grande_preg,,,,,,7197,grande_preg,CENTER_RIGHT,rojo_preg,CENTER_LEFT,3911,touch_object,0,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,22,2016-05-02T17:08:35.396Z,0,3,block2,mountain,3,2,tijera_preg,,bicicleta_preg,,,,,,820,tijera_preg,CENTER_LEFT,tijera_preg,CENTER_LEFT,1920,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,23,2016-05-02T17:08:45.563Z,0,3,block2,mountain,4,2,atar_preg,,pisar_preg,,,,,,734,atar_preg,CENTER_LEFT,atar_preg,CENTER_LEFT,3655,touch_object,1,1
408399C693F84620BF5070FB801D9B76,Unknown,2016-05-02,"",Espanol_Grupo2_preg,703,1,2016-05-02T17:02:40.000Z,2016-05-02T17:13:48.000Z,24,2016-05-02T17:08:57.382Z,0,3,block2,mountain,5,2,romper_preg,,tocar_preg,,,,,,757,tocar_preg,CENTER_RIGHT,tocar_preg,CENTER_RIGHT,5530,touch_object,1,1
