uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,1,2016-05-06T13:18:26.969Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,4299,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,7534,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,2,2016-05-06T13:18:46.453Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,698,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,3566,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,3,2016-05-06T13:18:58.150Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,968,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,3663,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,4,2016-05-06T13:19:10.233Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1453,abrir_imp,CENTER_LEFT,tirar_imp,CENTER_RIGHT,3737,touch_object,0,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,5,2016-05-06T13:19:22.751Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,448,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,3078,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,6,2016-05-06T13:19:37.013Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,770,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,2993,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,7,2016-05-06T13:19:48.201Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,217,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,3292,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,8,2016-05-06T13:19:59.152Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,658,comer_imp,CENTER_RIGHT,lavar_imp,CENTER_LEFT,4329,touch_object,0,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,9,2016-05-06T13:20:11.469Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,927,nadar_imp,CENTER_RIGHT,pescar_imp,CENTER_LEFT,1688,touch_object,0,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,10,2016-05-06T13:20:21.454Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1085,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,1943,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,11,2016-05-06T13:20:31.904Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,790,redondo_imp,CENTER_RIGHT,oscuro_imp,CENTER_LEFT,4769,touch_object,0,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,12,2016-05-06T13:20:44.839Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,961,pinguino_imp,CENTER_LEFT,pinguino_imp,CENTER_LEFT,1988,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,13,2016-05-06T13:20:55.222Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,944,lleno_imp,CENTER_LEFT,lleno_imp,CENTER_LEFT,1575,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,14,2016-05-06T13:21:05.156Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,907,atajar_imp,CENTER_RIGHT,inflar_imp,CENTER_LEFT,2106,touch_object,0,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,15,2016-05-06T13:21:15.507Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,845,colectivo_imp,CENTER_LEFT,colectivo_imp,CENTER_LEFT,2869,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,16,2016-05-06T13:21:26.642Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,1671,gato_imp,CENTER_RIGHT,gato_imp,CENTER_RIGHT,2378,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,17,2016-05-06T13:21:38.125Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,757,rayado_imp,CENTER_RIGHT,rayado_imp,CENTER_RIGHT,3450,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,18,2016-05-06T13:21:49.759Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,726,helicoptero_imp,CENTER_LEFT,helicoptero_imp,CENTER_LEFT,1656,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,19,2016-05-06T13:21:59.560Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,768,casa_imp,CENTER_LEFT,casa_imp,CENTER_LEFT,2027,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,20,2016-05-06T13:22:19.515Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,786,bosque_imp,CENTER_RIGHT,rio_imp,CENTER_LEFT,1858,touch_object,0,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,21,2016-05-06T13:22:29.563Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,748,grande_imp,CENTER_RIGHT,grande_imp,CENTER_RIGHT,2792,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,22,2016-05-06T13:22:40.528Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,768,tijera_imp,CENTER_LEFT,tijera_imp,CENTER_LEFT,1657,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,23,2016-05-06T13:22:50.362Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,942,atar_imp,CENTER_LEFT,atar_imp,CENTER_LEFT,3871,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,24,2016-05-06T13:23:02.647Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,839,tocar_imp,CENTER_RIGHT,romper_imp,CENTER_LEFT,2231,touch_object,0,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,25,2016-05-06T13:23:13.030Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,704,pato_imp,CENTER_RIGHT,pato_imp,CENTER_RIGHT,1691,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,26,2016-05-06T13:23:22.847Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,807,grupo_imp,CENTER_LEFT,medico_imp,CENTER_RIGHT,2717,touch_object,0,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,27,2016-05-06T13:23:33.748Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,733,descalzo_imp,CENTER_RIGHT,descalzo_imp,CENTER_RIGHT,1741,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,28,2016-05-06T13:23:43.666Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,2407,boca_imp,CENTER_LEFT,boca_imp,CENTER_LEFT,3550,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,29,2016-05-06T13:23:57.032Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,684,camion_imp,CENTER_RIGHT,camion_imp,CENTER_RIGHT,1376,touch_object,1,1
41E85274C5E545A78188202D047BEEED,Unknown,2016-05-06,"",Espanol_Grupo2_imp,607,1,2016-05-06T13:18:26.000Z,2016-05-06T13:27:12.000Z,30,2016-05-06T13:24:06.516Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,420,pesada_imp,CENTER_RIGHT,pesada_imp,CENTER_RIGHT,1972,touch_object,1,1
