uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,1,2016-04-28T16:42:13.455Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,222,oreja_preg,CENTER_RIGHT,nariz_preg,CENTER_LEFT,7671,touch_object,0,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,2,2016-04-28T16:42:28.930Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,3178,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,7537,touch_object,1,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,3,2016-04-28T16:42:47.076Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1101,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,3917,touch_object,1,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,4,2016-04-28T16:42:59.593Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1719,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,4808,touch_object,1,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,5,2016-04-28T16:43:13.577Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1608,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,9164,touch_object,1,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,6,2016-04-28T16:43:36.317Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,442,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,2294,touch_object,1,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,7,2016-04-28T16:43:46.496Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,1095,barrer_preg,CENTER_LEFT,barrer_preg,CENTER_LEFT,9493,touch_object,1,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,8,2016-04-28T16:44:04.513Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,78,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,1363,touch_object,1,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,9,2016-04-28T16:44:13.398Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,360,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,3163,touch_object,1,1
42846D4FDBAB40F98D8772EB3268CE9B,Unknown,2016-04-28,"",Espanol_Grupo2_preg,806,1,2016-04-28T16:42:12.000Z,2016-04-28T16:51:07.000Z,10,2016-04-28T16:44:24.366Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,728,tortuga_preg,CENTER_LEFT,mariposa_preg,CENTER_RIGHT,6423,touch_object,0,1
