uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,1,2016-05-04T00:53:46.924Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1751,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,8916,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,2,2016-05-04T00:54:05.304Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2257,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,8223,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,3,2016-05-04T00:54:23.098Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1924,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,12446,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,4,2016-05-04T00:54:44.766Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2881,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,5883,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,5,2016-05-04T00:55:10.060Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,724,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,5111,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,6,2016-05-04T00:55:23.285Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,3317,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,5081,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,7,2016-05-04T00:55:38.986Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1798,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,4196,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,8,2016-05-04T00:55:52.304Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1194,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,3780,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,9,2016-05-04T00:56:04.570Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,706,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,3928,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,10,2016-05-04T00:56:16.505Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,898,redondo_imp,CENTER_RIGHT,redondo_imp,CENTER_RIGHT,4132,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,11,2016-05-04T00:56:28.838Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,693,pinguino_imp,CENTER_LEFT,pinguino_imp,CENTER_LEFT,3818,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,12,2016-05-04T00:56:40.639Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1186,lleno_imp,CENTER_LEFT,lleno_imp,CENTER_LEFT,3602,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,13,2016-05-04T00:56:52.707Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,2147,atajar_imp,CENTER_RIGHT,atajar_imp,CENTER_RIGHT,7880,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,14,2016-05-04T00:57:10.058Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,864,colectivo_imp,CENTER_LEFT,colectivo_imp,CENTER_LEFT,2838,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,15,2016-05-04T00:57:21.058Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,1726,gato_imp,CENTER_RIGHT,gato_imp,CENTER_RIGHT,2378,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,16,2016-05-04T00:57:32.459Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,1195,rayado_imp,CENTER_RIGHT,peludo_imp,CENTER_LEFT,4130,touch_object,0,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,17,2016-05-04T00:57:45.060Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,906,helicoptero_imp,CENTER_LEFT,helicoptero_imp,CENTER_LEFT,2941,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,18,2016-05-04T00:57:56.227Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,6848,casa_imp,CENTER_LEFT,casa_imp,CENTER_LEFT,3169,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,19,2016-05-04T00:58:34.175Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,4869,bosque_imp,CENTER_RIGHT,bosque_imp,CENTER_RIGHT,3561,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,20,2016-05-04T00:58:49.997Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,578,grande_imp,CENTER_RIGHT,rojo_imp,CENTER_LEFT,3128,touch_object,0,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,21,2016-05-04T00:59:00.997Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,820,tijera_imp,CENTER_LEFT,tijera_imp,CENTER_LEFT,3018,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,22,2016-05-04T00:59:12.114Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,798,atar_imp,CENTER_LEFT,atar_imp,CENTER_LEFT,4488,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,23,2016-05-04T00:59:24.699Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,1251,tocar_imp,CENTER_RIGHT,tocar_imp,CENTER_RIGHT,5987,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,24,2016-05-04T00:59:39.216Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,406,pato_imp,CENTER_RIGHT,pato_imp,CENTER_RIGHT,3021,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,25,2016-05-04T00:59:49.933Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,1600,grupo_imp,CENTER_LEFT,medico_imp,CENTER_RIGHT,3644,touch_object,0,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,26,2016-05-04T01:00:02.451Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,997,descalzo_imp,CENTER_RIGHT,descalzo_imp,CENTER_RIGHT,4250,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,27,2016-05-04T01:00:15.001Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,453,boca_imp,CENTER_LEFT,boca_imp,CENTER_LEFT,3491,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,28,2016-05-04T01:00:26.236Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,755,camion_imp,CENTER_RIGHT,camion_imp,CENTER_RIGHT,2462,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,29,2016-05-04T01:00:36.753Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,903,pesada_imp,CENTER_RIGHT,pesada_imp,CENTER_RIGHT,5628,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,30,2016-05-04T01:00:50.587Z,0,3,block2,mountain,12,2,sucia_imp,,limpia_imp,,,,,,1673,sucia_imp,CENTER_LEFT,sucia_imp,CENTER_LEFT,2599,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,31,2016-05-04T01:01:02.154Z,0,3,block2,mountain,13,2,canilla_imp,,vela_imp,,,,,,2764,vela_imp,CENTER_RIGHT,vela_imp,CENTER_RIGHT,2617,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,32,2016-05-04T01:01:14.821Z,0,3,block2,mountain,14,2,lapiz_imp,,pantalon_imp,,,,,,3820,pantalon_imp,CENTER_RIGHT,pantalon_imp,CENTER_RIGHT,2939,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,33,2016-05-04T01:01:33.187Z,0,4,block3,desert,1,2,mueble_imp,,bolso_imp,,,,,,574,mueble_imp,CENTER_LEFT,mueble_imp,CENTER_LEFT,4127,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,34,2016-05-04T01:01:45.290Z,0,4,block3,desert,2,2,muneca_imp,,mochila_imp,,,,,,1725,muneca_imp,CENTER_LEFT,muneca_imp,CENTER_LEFT,2843,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,35,2016-05-04T01:01:57.174Z,0,4,block3,desert,3,2,perro_imp,,nene_imp,,,,,,534,nene_imp,CENTER_RIGHT,nene_imp,CENTER_RIGHT,4436,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,36,2016-05-04T01:02:09.425Z,0,4,block3,desert,4,2,patear_imp,,arrancar_imp,,,,,,818,patear_imp,CENTER_LEFT,patear_imp,CENTER_LEFT,3794,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,37,2016-05-04T01:02:21.342Z,0,4,block3,desert,5,2,llorar_imp,,saltar_imp,,,,,,700,llorar_imp,CENTER_LEFT,llorar_imp,CENTER_LEFT,2127,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,38,2016-05-04T01:02:31.476Z,0,4,block3,desert,6,2,triste_imp,,contento_imp,,,,,,587,contento_imp,CENTER_RIGHT,contento_imp,CENTER_RIGHT,2924,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,39,2016-05-04T01:02:42.276Z,0,4,block3,desert,7,2,lampara_imp,,empanada_imp,,,,,,658,empanada_imp,CENTER_RIGHT,empanada_imp,CENTER_RIGHT,2096,touch_object,1,1
49C63C50BFE54E77B53D4A32D33A8DAC,Unknown,2016-05-04,"",Espanol_Grupo2_imp,605,2,2016-05-04T00:53:45.000Z,2016-05-04T01:04:08.000Z,40,2016-05-04T01:02:52.327Z,0,4,block3,desert,8,2,jugar_imp,,dormir_imp,,,,,,833,jugar_imp,CENTER_LEFT,jugar_imp,CENTER_LEFT,5569,touch_object,1,1
