uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,1,2016-04-27T13:12:58.289Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,989,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,5297,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,2,2016-04-27T13:13:12.169Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,3857,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,3291,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,3,2016-04-27T13:13:26.748Z,1,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,2528,sonreir_preg,CENTER_LEFT,correr_preg,CENTER_RIGHT,2243,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,4,2016-04-27T13:13:38.866Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,214,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,2029,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,5,2016-04-27T13:13:48.565Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,4301,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,2668,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,6,2016-04-27T13:14:08.441Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,794,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,2437,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,7,2016-04-27T13:14:19.116Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,546,clavar_preg,CENTER_RIGHT,barrer_preg,CENTER_LEFT,2939,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,8,2016-04-27T13:14:29.985Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,2301,lavar_preg,CENTER_LEFT,lavar_preg,CENTER_LEFT,2273,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,9,2016-04-27T13:14:42.002Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,3181,pescar_preg,CENTER_LEFT,nadar_preg,CENTER_RIGHT,2018,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,10,2016-04-27T13:14:54.536Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,5721,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,2538,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,11,2016-04-27T13:15:10.221Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,2205,oscuro_preg,CENTER_LEFT,oscuro_preg,CENTER_LEFT,2087,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,12,2016-04-27T13:15:21.920Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,1853,canguro_preg,CENTER_RIGHT,canguro_preg,CENTER_RIGHT,1832,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,13,2016-04-27T13:15:33.038Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,2451,alto_preg,CENTER_RIGHT,lleno_preg,CENTER_LEFT,2105,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,14,2016-04-27T13:15:44.922Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,1126,inflar_preg,CENTER_LEFT,atajar_preg,CENTER_RIGHT,2128,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,15,2016-04-27T13:15:55.505Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,1222,avion_preg,CENTER_RIGHT,avion_preg,CENTER_RIGHT,1688,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,16,2016-04-27T13:16:05.858Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,2761,caballo_preg,CENTER_LEFT,caballo_preg,CENTER_LEFT,2848,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,17,2016-04-27T13:16:18.873Z,0,2,block1,beach,12,2,peludo_preg,,rayado_preg,,,,,,1878,peludo_preg,CENTER_LEFT,rayado_preg,CENTER_RIGHT,2387,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,18,2016-04-27T13:16:30.491Z,0,2,block1,beach,13,2,helicoptero_preg,,accidente_preg,,,,,,1728,accidente_preg,CENTER_RIGHT,accidente_preg,CENTER_RIGHT,1808,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,19,2016-04-27T13:16:41.458Z,0,2,block1,beach,14,2,casa_preg,,comida_preg,,,,,,1420,comida_preg,CENTER_RIGHT,comida_preg,CENTER_RIGHT,1807,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,20,2016-04-27T13:16:57.408Z,0,3,block2,mountain,1,2,rio_preg,,bosque_preg,,,,,,1581,rio_preg,CENTER_LEFT,bosque_preg,CENTER_RIGHT,1987,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,21,2016-04-27T13:17:08.327Z,0,3,block2,mountain,2,2,rojo_preg,,grande_preg,,,,,,2667,rojo_preg,CENTER_LEFT,grande_preg,CENTER_RIGHT,4936,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,22,2016-04-27T13:17:23.244Z,0,3,block2,mountain,3,2,tijera_preg,,bicicleta_preg,,,,,,5145,bicicleta_preg,CENTER_RIGHT,bicicleta_preg,CENTER_RIGHT,1936,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,23,2016-04-27T13:17:37.745Z,0,3,block2,mountain,4,2,atar_preg,,pisar_preg,,,,,,893,pisar_preg,CENTER_RIGHT,pisar_preg,CENTER_RIGHT,2081,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,24,2016-04-27T13:17:48.129Z,0,3,block2,mountain,5,2,romper_preg,,tocar_preg,,,,,,1542,romper_preg,CENTER_LEFT,romper_preg,CENTER_LEFT,2958,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,25,2016-04-27T13:18:00.096Z,0,3,block2,mountain,6,2,hombre_preg,,pato_preg,,,,,,916,hombre_preg,CENTER_LEFT,pato_preg,CENTER_RIGHT,1668,touch_object,0,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,26,2016-04-27T13:18:10.030Z,0,3,block2,mountain,7,2,grupo_preg,,medico_preg,,,,,,1841,medico_preg,CENTER_RIGHT,medico_preg,CENTER_RIGHT,2053,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,27,2016-04-27T13:18:21.331Z,0,3,block2,mountain,8,2,viejo_preg,,descalzo_preg,,,,,,1027,viejo_preg,CENTER_LEFT,viejo_preg,CENTER_LEFT,1842,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,28,2016-04-27T13:18:31.631Z,0,3,block2,mountain,9,2,boca_preg,,cabeza_preg,,,,,,1543,cabeza_preg,CENTER_RIGHT,cabeza_preg,CENTER_RIGHT,1693,touch_object,1,1
55CDAD8F40DD49B2B7B06867F1F264AF,Unknown,2016-04-27,"",Espanol_Grupo1_preg,502,2,2016-04-27T13:12:57.000Z,2016-04-27T13:22:24.000Z,29,2016-04-27T13:18:42.264Z,0,3,block2,mountain,10,2,gorro_preg,,camion_preg,,,,,,7445,gorro_preg,CENTER_LEFT,camion_preg,CENTER_RIGHT,1759,touch_object,0,1
