uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,1,2016-04-27T13:26:09.706Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,554,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,10075,touch_object,1,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,2,2016-04-27T13:26:27.946Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,837,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,2026,touch_object,1,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,3,2016-04-27T13:26:38.226Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,2006,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,12323,touch_object,1,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,4,2016-04-27T13:26:59.959Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,4181,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,5573,touch_object,1,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,5,2016-04-27T13:27:23.612Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,439,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,3127,touch_object,1,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,6,2016-04-27T13:27:34.596Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,1746,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,5834,touch_object,1,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,7,2016-04-27T13:27:49.596Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,494,lavar_preg,CENTER_LEFT,comer_preg,CENTER_RIGHT,5113,touch_object,0,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,8,2016-04-27T13:28:02.530Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,945,pescar_preg,CENTER_LEFT,nadar_preg,CENTER_RIGHT,2428,touch_object,0,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,9,2016-04-27T13:28:13.231Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,3646,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,2105,touch_object,1,1
644012AC1D184E068617D36C6A17D4C0,Unknown,2016-04-27,"",Espanol_Grupo1_preg,503,2,2016-04-27T13:26:09.000Z,2016-04-27T13:35:29.000Z,10,2016-04-27T13:28:26.416Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,427,oscuro_preg,CENTER_LEFT,redondo_preg,CENTER_RIGHT,3226,touch_object,0,1
