uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,1,2016-04-28T13:47:16.850Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1422,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,19354,touch_object,1,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,2,2016-04-28T13:47:45.955Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1505,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,2468,touch_object,0,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,3,2016-04-28T13:47:57.220Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,737,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,1640,touch_object,0,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,4,2016-04-28T13:48:06.903Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2088,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,2634,touch_object,0,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,5,2016-04-28T13:48:18.919Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,927,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,2554,touch_object,1,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,6,2016-04-28T13:48:29.719Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,806,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,2713,touch_object,1,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,7,2016-04-28T13:48:40.570Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1305,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,15155,touch_object,1,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,8,2016-04-28T13:49:08.270Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,2616,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,4565,touch_object,1,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,9,2016-04-28T13:49:22.919Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,2376,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,2532,touch_object,1,1
64832371E9DF4E889CD4854400C5E064,Unknown,2016-04-28,"",Espanol_Grupo2_imp,853,1,2016-04-28T13:47:14.000Z,2016-04-28T13:57:56.000Z,10,2016-04-28T13:49:35.185Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1291,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,1725,touch_object,1,1
