uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,1,2016-04-27T21:53:03.983Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1209,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,10293,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,2,2016-04-27T21:53:23.228Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,5748,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,7581,touch_object,0,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,3,2016-04-27T21:53:43.840Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,198,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3424,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,4,2016-04-27T21:53:54.740Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2554,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3940,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,5,2016-04-27T21:54:08.524Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,995,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,6094,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,6,2016-04-27T21:54:27.377Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,123,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2387,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,7,2016-04-27T21:54:37.241Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,101,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,3279,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,8,2016-04-27T21:54:47.910Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,271,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2800,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,9,2016-04-27T21:54:58.260Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,63,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2761,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,10,2016-04-27T21:55:08.394Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,36,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1403,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,11,2016-04-27T21:55:17.111Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,134,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,1936,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,12,2016-04-27T21:55:26.461Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,48,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1421,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,13,2016-04-27T21:55:35.212Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,976,alto_imp,CENTER_RIGHT,lleno_imp,CENTER_LEFT,6315,touch_object,0,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,14,2016-04-27T21:55:49.797Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,17,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,2188,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,15,2016-04-27T21:55:59.296Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,96,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1514,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,16,2016-04-27T21:56:08.198Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,32,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2018,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,17,2016-04-27T21:56:17.531Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,65,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,1842,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,18,2016-04-27T21:56:26.764Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,90,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,3875,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,19,2016-04-27T21:56:38.049Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,273,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,1521,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,20,2016-04-27T21:56:48.223Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,105,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,2249,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,21,2016-04-27T21:56:57.950Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,313,rojo_imp,CENTER_LEFT,grande_imp,CENTER_RIGHT,4070,touch_object,0,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,22,2016-04-27T21:57:09.601Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,953,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,1361,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,23,2016-04-27T21:57:19.217Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,919,pisar_imp,CENTER_RIGHT,pisar_imp,CENTER_RIGHT,3711,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,24,2016-04-27T21:57:31.135Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,308,romper_imp,CENTER_LEFT,romper_imp,CENTER_LEFT,3317,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,25,2016-04-27T21:57:42.052Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,878,hombre_imp,CENTER_LEFT,hombre_imp,CENTER_LEFT,1766,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,26,2016-04-27T21:57:51.986Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,432,medico_imp,CENTER_RIGHT,medico_imp,CENTER_RIGHT,1747,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,27,2016-04-27T21:58:01.454Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,514,viejo_imp,CENTER_LEFT,viejo_imp,CENTER_LEFT,3447,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,28,2016-04-27T21:58:12.724Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,721,cabeza_imp,CENTER_RIGHT,cabeza_imp,CENTER_RIGHT,2806,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,29,2016-04-27T21:58:23.539Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,217,gorro_imp,CENTER_LEFT,gorro_imp,CENTER_LEFT,1749,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,30,2016-04-27T21:58:32.806Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,1558,rota_imp,CENTER_LEFT,rota_imp,CENTER_LEFT,2528,touch_object,1,1
6B761EF75D7040A19BA339C4EB4655E2,Unknown,2016-04-27,"",Espanol_Grupo1_imp,556,1,2016-04-27T21:53:02.000Z,2016-04-27T22:02:00.000Z,31,2016-04-27T21:58:44.189Z,0,3,block2,mountain,12,2,sucia_imp,,limpia_imp,,,,,,1112,limpia_imp,CENTER_RIGHT,limpia_imp,CENTER_RIGHT,1632,touch_object,1,1
