uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,1,2016-04-28T12:55:05.693Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1961,oreja_preg,CENTER_RIGHT,nariz_preg,CENTER_LEFT,10800,touch_object,0,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,2,2016-04-28T12:55:25.999Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1575,oreja_preg,CENTER_RIGHT,nariz_preg,CENTER_LEFT,2949,touch_object,0,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,3,2016-04-28T12:55:37.860Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,891,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,4483,touch_object,1,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,4,2016-04-28T12:55:50.663Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,2221,amarillo_preg,CENTER_LEFT,verde_preg,CENTER_RIGHT,2195,touch_object,0,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,5,2016-04-28T12:56:02.395Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,507,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,2329,touch_object,1,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,6,2016-04-28T12:56:12.629Z,1,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,3559,correr_preg,CENTER_RIGHT,sonreir_preg,CENTER_LEFT,2167,touch_object,0,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,7,2016-04-28T12:56:25.713Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,3064,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,2958,touch_object,1,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,8,2016-04-28T12:56:39.148Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1181,abrir_preg,CENTER_LEFT,tirar_preg,CENTER_RIGHT,2092,touch_object,0,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,9,2016-04-28T12:56:49.764Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1034,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,1808,touch_object,1,1
6BF175AA97444AA3B8E634B08FFCF9D7,Unknown,2016-04-28,"",Espanol_Grupo2_preg,800,1,2016-04-28T12:55:04.000Z,2016-04-28T13:05:39.000Z,10,2016-04-28T12:57:08.693Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,993,boton_preg,CENTER_LEFT,pez_preg,CENTER_RIGHT,1730,touch_object,0,1
