uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,1,2016-04-28T01:58:41.647Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,9496,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,4253,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,2,2016-04-28T01:59:03.287Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1054,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2022,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,3,2016-04-28T01:59:13.647Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,340,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4854,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,4,2016-04-28T01:59:26.149Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1978,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,6564,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,5,2016-04-28T01:59:51.398Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,350,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1973,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,6,2016-04-28T02:00:01.101Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,965,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2799,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,7,2016-04-28T02:00:12.151Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,603,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2846,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,8,2016-04-28T02:00:22.902Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,426,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2811,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,9,2016-04-28T02:00:33.435Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1337,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2097,touch_object,1,1
6F1C62A43CB74AFF80A0D033D6C8D994,Unknown,2016-04-28,"",Espanol_Grupo1_imp,603,2,2016-04-28T01:58:40.000Z,2016-04-28T02:07:58.000Z,10,2016-04-28T02:00:44.152Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,209,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,9169,touch_object,0,1
