uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,1,2016-05-06T14:04:44.909Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1878,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,4468,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,2,2016-05-06T14:04:58.783Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1317,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,2846,touch_object,0,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,3,2016-05-06T14:05:10.282Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,420,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,2149,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,4,2016-05-06T14:05:20.300Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1448,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,1761,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,5,2016-05-06T14:05:30.950Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1106,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,2811,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,6,2016-05-06T14:05:46.592Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,979,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,4193,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,7,2016-05-06T14:05:59.270Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,554,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,2026,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,8,2016-05-06T14:06:09.287Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,983,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,1634,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,9,2016-05-06T14:06:19.337Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,709,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,2064,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,10,2016-05-06T14:06:29.521Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,700,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,1749,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,11,2016-05-06T14:06:39.404Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,893,redondo_imp,CENTER_RIGHT,redondo_imp,CENTER_RIGHT,4790,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,12,2016-05-06T14:06:52.522Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1840,pinguino_imp,CENTER_LEFT,pinguino_imp,CENTER_LEFT,2329,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,13,2016-05-06T14:07:04.156Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1326,lleno_imp,CENTER_LEFT,lleno_imp,CENTER_LEFT,6322,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,14,2016-05-06T14:07:19.239Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,622,atajar_imp,CENTER_RIGHT,atajar_imp,CENTER_RIGHT,3884,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,15,2016-05-06T14:07:31.191Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,319,colectivo_imp,CENTER_LEFT,colectivo_imp,CENTER_LEFT,1711,touch_object,1,1
6FB2D95CDEF3499B81763971F20DF873,Unknown,2016-05-06,"",Espanol_Grupo2_imp,610,1,2016-05-06T14:04:44.000Z,2016-05-06T14:13:32.000Z,16,2016-05-06T14:07:40.625Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,1134,gato_imp,CENTER_RIGHT,gato_imp,CENTER_RIGHT,2633,touch_object,1,1
