uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,1,2016-05-02T13:11:10.959Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,127,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,1786,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,2,2016-05-02T13:11:20.553Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,577,amarillo_preg,CENTER_LEFT,verde_preg,CENTER_RIGHT,2034,touch_object,0,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,3,2016-05-02T13:11:30.500Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,212,amarillo_preg,CENTER_LEFT,verde_preg,CENTER_RIGHT,2087,touch_object,0,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,4,2016-05-02T13:11:40.150Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,100,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,2035,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,5,2016-05-02T13:11:49.685Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1062,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,1579,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,6,2016-05-02T13:11:59.735Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,2517,abrir_preg,CENTER_LEFT,tirar_preg,CENTER_RIGHT,1905,touch_object,0,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,7,2016-05-02T13:12:11.484Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,394,abrir_preg,CENTER_LEFT,tirar_preg,CENTER_RIGHT,2059,touch_object,0,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,8,2016-05-02T13:12:21.286Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1617,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,2788,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,9,2016-05-02T13:12:36.392Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,2063,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,1890,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,10,2016-05-02T13:12:47.788Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,22,barrer_preg,CENTER_LEFT,barrer_preg,CENTER_LEFT,1962,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,11,2016-05-02T13:12:57.170Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,66,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,1425,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,12,2016-05-02T13:13:06.122Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,307,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,1552,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,13,2016-05-02T13:13:15.408Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,453,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,3243,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,14,2016-05-02T13:13:26.556Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,1000,redondo_preg,CENTER_RIGHT,oscuro_preg,CENTER_LEFT,2014,touch_object,0,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,15,2016-05-02T13:13:36.907Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,95,pinguino_preg,CENTER_LEFT,pinguino_preg,CENTER_LEFT,2415,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,16,2016-05-02T13:13:46.856Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,115,lleno_preg,CENTER_LEFT,alto_preg,CENTER_RIGHT,1887,touch_object,0,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,17,2016-05-02T13:13:56.241Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,231,atajar_preg,CENTER_RIGHT,atajar_preg,CENTER_RIGHT,2033,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,18,2016-05-02T13:14:05.942Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,201,colectivo_preg,CENTER_LEFT,colectivo_preg,CENTER_LEFT,2046,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,19,2016-05-02T13:14:15.609Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,722,gato_preg,CENTER_RIGHT,gato_preg,CENTER_RIGHT,1891,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,20,2016-05-02T13:14:25.626Z,0,2,block1,beach,12,2,peludo_preg,,rayado_preg,,,,,,1746,rayado_preg,CENTER_RIGHT,rayado_preg,CENTER_RIGHT,2111,touch_object,1,1
760363264A144149A27B3F1B0B6206BE,Unknown,2016-05-02,"",Espanol_Grupo2_preg,507,2,2016-05-02T13:11:10.000Z,2016-05-02T13:19:51.000Z,21,2016-05-02T13:14:36.944Z,0,2,block1,beach,13,2,helicoptero_preg,,accidente_preg,,,,,,31,helicoptero_preg,CENTER_LEFT,helicoptero_preg,CENTER_LEFT,1854,touch_object,1,1
