uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,1,2016-04-27T12:56:27.508Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1320,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,26145,touch_object,1,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,2,2016-04-27T12:57:02.596Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1686,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,5594,touch_object,1,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,3,2016-04-27T12:57:17.294Z,1,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,3754,sonreir_preg,CENTER_LEFT,correr_preg,CENTER_RIGHT,7234,touch_object,0,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,4,2016-04-27T12:57:35.612Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,994,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,11030,touch_object,1,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,5,2016-04-27T12:57:55.112Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1360,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,8371,touch_object,1,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,6,2016-04-27T12:58:19.575Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,718,pez_preg,CENTER_RIGHT,boton_preg,CENTER_LEFT,6325,touch_object,0,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,7,2016-04-27T12:58:33.999Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,2126,clavar_preg,CENTER_RIGHT,barrer_preg,CENTER_LEFT,5154,touch_object,0,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,8,2016-04-27T12:58:48.631Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,1089,lavar_preg,CENTER_LEFT,comer_preg,CENTER_RIGHT,3968,touch_object,0,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,9,2016-04-27T12:59:01.048Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,1324,pescar_preg,CENTER_LEFT,nadar_preg,CENTER_RIGHT,4391,touch_object,0,1
80606EB47A484F26892292B6C9FD2BAD,Unknown,2016-04-27,"",Espanol_Grupo1_preg,501,4,2016-04-27T12:56:27.000Z,2016-04-27T13:07:06.000Z,10,2016-04-27T12:59:14.099Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,1168,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,3819,touch_object,1,1
