uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,1,2016-04-27T18:15:43.840Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1861,nariz_preg,CENTER_LEFT,oreja_preg,CENTER_RIGHT,25206,touch_object,0,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,2,2016-04-27T18:16:18.370Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,4179,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,34845,touch_object,1,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,3,2016-04-27T18:17:04.891Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,2967,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,3573,touch_object,1,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,4,2016-04-27T18:17:18.823Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1779,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,10755,touch_object,1,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,5,2016-04-27T18:17:38.790Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,6133,tirar_preg,CENTER_RIGHT,abrir_preg,CENTER_LEFT,5405,touch_object,0,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,6,2016-04-27T18:17:57.676Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1424,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,4265,touch_object,1,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,7,2016-04-27T18:18:26.987Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,7555,pez_preg,CENTER_RIGHT,boton_preg,CENTER_LEFT,4300,touch_object,0,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,8,2016-04-27T18:18:46.211Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,3724,clavar_preg,CENTER_RIGHT,barrer_preg,CENTER_LEFT,5049,touch_object,0,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,9,2016-04-27T18:19:02.313Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,6202,lavar_preg,CENTER_LEFT,lavar_preg,CENTER_LEFT,8738,touch_object,1,1
87FE406E9E694826B0B969BC12ABA34C,Unknown,2016-04-27,"",Espanol_Grupo1_preg,754,1,2016-04-27T18:15:43.000Z,2016-04-27T18:32:07.000Z,10,2016-04-27T18:19:24.682Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,1166,pescar_preg,CENTER_LEFT,pescar_preg,CENTER_LEFT,4115,touch_object,1,1
