uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,1,2016-04-28T02:19:06.949Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2262,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,10742,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,2,2016-04-28T02:19:27.843Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,3171,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,7284,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,3,2016-04-28T02:19:45.620Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2758,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,14455,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,4,2016-04-28T02:20:10.121Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,7305,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,8371,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,5,2016-04-28T02:20:50.921Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,580,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3365,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,6,2016-04-28T02:21:02.240Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1014,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,4553,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,7,2016-04-28T02:21:15.125Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1215,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,4602,touch_object,0,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,8,2016-04-28T02:21:28.225Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1565,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,4499,touch_object,0,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,9,2016-04-28T02:21:41.576Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,2046,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,3955,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,10,2016-04-28T02:21:54.876Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1339,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,2884,touch_object,0,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,11,2016-04-28T02:22:06.395Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,4946,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,4893,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,12,2016-04-28T02:22:23.529Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,2196,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,3039,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,13,2016-04-28T02:22:36.079Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,914,inflar_imp,CENTER_LEFT,atajar_imp,CENTER_RIGHT,5049,touch_object,0,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,14,2016-04-28T02:22:49.329Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,648,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1920,touch_object,1,1
908026AF58BA418192FBFE580D80E4F1,Unknown,2016-04-28,"",Espanol_Grupo1_imp,604,2,2016-04-28T02:19:05.000Z,2016-04-28T02:29:03.000Z,15,2016-04-28T02:22:59.197Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,158,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,1982,touch_object,1,1
