uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,1,2016-05-02T13:31:03.265Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,6093,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,2786,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,2,2016-05-02T13:31:19.821Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,10154,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,1637,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,3,2016-05-02T13:31:39.019Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,2701,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,1993,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,4,2016-05-02T13:31:51.118Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,7342,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,3028,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,5,2016-05-02T13:32:22.452Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,1906,boton_preg,CENTER_LEFT,pez_preg,CENTER_RIGHT,2803,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,6,2016-05-02T13:32:34.538Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,1680,barrer_preg,CENTER_LEFT,clavar_preg,CENTER_RIGHT,3625,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,7,2016-05-02T13:32:47.207Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,1181,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,1423,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,8,2016-05-02T13:32:57.222Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,1055,nadar_preg,CENTER_RIGHT,pescar_preg,CENTER_LEFT,4826,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,9,2016-05-02T13:33:10.456Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,3090,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,2310,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,10,2016-05-02T13:33:23.306Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,1436,redondo_preg,CENTER_RIGHT,redondo_preg,CENTER_RIGHT,2742,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,11,2016-05-02T13:33:34.923Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,7452,pinguino_preg,CENTER_LEFT,canguro_preg,CENTER_RIGHT,2009,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,12,2016-05-02T13:33:51.774Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,3754,lleno_preg,CENTER_LEFT,lleno_preg,CENTER_LEFT,5697,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,13,2016-05-02T13:34:08.659Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,1123,atajar_preg,CENTER_RIGHT,inflar_preg,CENTER_LEFT,3345,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,14,2016-05-02T13:34:20.509Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,783,colectivo_preg,CENTER_LEFT,avion_preg,CENTER_RIGHT,4851,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,15,2016-05-02T13:34:33.493Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,1861,gato_preg,CENTER_RIGHT,gato_preg,CENTER_RIGHT,3223,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,16,2016-05-02T13:34:46.011Z,0,2,block1,beach,12,2,peludo_preg,,rayado_preg,,,,,,6835,rayado_preg,CENTER_RIGHT,peludo_preg,CENTER_LEFT,2979,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,17,2016-05-02T13:35:03.163Z,0,2,block1,beach,13,2,helicoptero_preg,,accidente_preg,,,,,,5348,helicoptero_preg,CENTER_LEFT,helicoptero_preg,CENTER_LEFT,2533,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,18,2016-05-02T13:35:18.496Z,0,2,block1,beach,14,2,casa_preg,,comida_preg,,,,,,15807,casa_preg,CENTER_LEFT,casa_preg,CENTER_LEFT,2341,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,19,2016-05-02T13:35:47.281Z,0,3,block2,mountain,1,2,rio_preg,,bosque_preg,,,,,,805,bosque_preg,CENTER_RIGHT,rio_preg,CENTER_LEFT,2095,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,20,2016-05-02T13:35:57.515Z,0,3,block2,mountain,2,2,rojo_preg,,grande_preg,,,,,,513,grande_preg,CENTER_RIGHT,grande_preg,CENTER_RIGHT,2582,touch_object,1,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,21,2016-05-02T13:36:08.016Z,0,3,block2,mountain,3,2,tijera_preg,,bicicleta_preg,,,,,,1081,tijera_preg,CENTER_LEFT,bicicleta_preg,CENTER_RIGHT,2183,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,22,2016-05-02T13:36:18.616Z,0,3,block2,mountain,4,2,atar_preg,,pisar_preg,,,,,,8452,atar_preg,CENTER_LEFT,pisar_preg,CENTER_RIGHT,2731,touch_object,0,1
99A34EFB6AE6438787D76D051168A614,Unknown,2016-05-02,"",Espanol_Grupo2_preg,701,2,2016-05-02T13:31:02.000Z,2016-05-02T13:42:21.000Z,23,2016-05-02T13:36:37.133Z,0,3,block2,mountain,5,2,romper_preg,,tocar_preg,,,,,,29539,tocar_preg,CENTER_RIGHT,tocar_preg,CENTER_RIGHT,9541,touch_object,1,1
