uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,1,2016-04-28T01:39:35.941Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,7096,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,6122,touch_object,1,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,2,2016-04-28T01:39:56.986Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,5258,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,3398,touch_object,0,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,3,2016-04-28T01:40:12.963Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1042,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3472,touch_object,1,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,4,2016-04-28T01:40:24.780Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,5262,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3048,touch_object,1,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,5,2016-04-28T01:40:40.413Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2132,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,4953,touch_object,0,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,6,2016-04-28T01:40:54.765Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,898,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,5173,touch_object,0,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,7,2016-04-28T01:41:08.082Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2971,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3859,touch_object,1,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,8,2016-04-28T01:41:25.998Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,569,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2262,touch_object,1,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,9,2016-04-28T01:41:36.184Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,5148,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,3547,touch_object,1,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,10,2016-04-28T01:41:52.185Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,2311,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,8465,touch_object,0,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,11,2016-04-28T01:42:10.252Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,2027,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,2372,touch_object,0,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,12,2016-04-28T01:42:21.937Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1313,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2114,touch_object,1,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,13,2016-04-28T01:42:32.686Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,555,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,3376,touch_object,0,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,14,2016-04-28T01:42:43.887Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1758,canguro_imp,CENTER_RIGHT,pinguino_imp,CENTER_LEFT,4037,touch_object,0,1
9D79FF3A0B764C4AAA21C104B2DA7719,Unknown,2016-04-28,"",Espanol_Grupo1_imp,602,2,2016-04-28T01:39:34.000Z,2016-04-28T01:49:24.000Z,15,2016-04-28T01:42:56.958Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1600,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,4195,touch_object,1,1
