uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,1,2016-04-28T16:40:43.193Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,3353,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,13383,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,2,2016-04-28T16:41:08.063Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1508,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,5488,touch_object,0,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,3,2016-04-28T16:41:22.395Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1682,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,1765,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,4,2016-04-28T16:41:33.212Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,463,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,7462,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,5,2016-04-28T16:41:48.462Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,3009,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,2650,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,6,2016-04-28T16:42:03.523Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1761,boton_imp,CENTER_LEFT,pez_imp,CENTER_RIGHT,2046,touch_object,0,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,7,2016-04-28T16:42:14.796Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,257,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,1912,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,8,2016-04-28T16:42:24.345Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,551,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,2060,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,9,2016-04-28T16:42:34.278Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,6630,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,3750,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,10,2016-04-28T16:42:52.012Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,507,tortuga_imp,CENTER_LEFT,mariposa_imp,CENTER_RIGHT,2777,touch_object,0,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,11,2016-04-28T16:43:02.629Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,373,redondo_imp,CENTER_RIGHT,oscuro_imp,CENTER_LEFT,2431,touch_object,0,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,12,2016-04-28T16:43:12.745Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1212,pinguino_imp,CENTER_LEFT,pinguino_imp,CENTER_LEFT,1690,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,13,2016-04-28T16:43:22.995Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1657,lleno_imp,CENTER_LEFT,lleno_imp,CENTER_LEFT,1524,touch_object,1,1
9DD72751753D48049E5D0B90B71A2EE3,Unknown,2016-04-28,"",Espanol_Grupo2_imp,855,1,2016-04-28T16:40:42.000Z,2016-04-28T16:50:45.000Z,14,2016-04-28T16:43:33.545Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,3073,atajar_imp,CENTER_RIGHT,inflar_imp,CENTER_LEFT,2301,touch_object,0,1
