uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,1,2016-05-06T16:59:29.201Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,3138,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,3345,touch_object,1,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,2,2016-05-06T16:59:43.305Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,621,amarillo_preg,CENTER_LEFT,verde_preg,CENTER_RIGHT,1554,touch_object,0,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,3,2016-05-06T16:59:52.852Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,278,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,1479,touch_object,1,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,4,2016-05-06T17:00:02.035Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,220,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,2356,touch_object,1,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,5,2016-05-06T17:00:12.085Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,565,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,4306,touch_object,1,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,6,2016-05-06T17:00:26.421Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,436,boton_preg,CENTER_LEFT,pez_preg,CENTER_RIGHT,4409,touch_object,0,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,7,2016-05-06T17:00:38.604Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,257,barrer_preg,CENTER_LEFT,barrer_preg,CENTER_LEFT,2288,touch_object,1,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,8,2016-05-06T17:00:48.587Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,348,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,2220,touch_object,1,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,9,2016-05-06T17:00:58.622Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,171,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,1804,touch_object,1,1
A4B42B7AFB1F41328DBA9D00D33B8B21,Unknown,2016-05-06,"",Espanol_Grupo2_preg,613,1,2016-05-06T16:59:28.000Z,2016-05-06T17:07:22.000Z,10,2016-05-06T17:01:08.105Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,219,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,2048,touch_object,1,1
