uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,1,2016-04-27T17:36:59.835Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,568,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,14518,touch_object,1,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,2,2016-04-27T17:37:22.464Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,2561,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,2492,touch_object,1,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,3,2016-04-27T17:37:34.946Z,1,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1890,sonreir_preg,CENTER_LEFT,correr_preg,CENTER_RIGHT,27861,touch_object,0,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,4,2016-04-27T17:38:12.068Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1942,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,15697,touch_object,1,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,5,2016-04-27T17:38:37.167Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1796,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,19521,touch_object,1,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,6,2016-04-27T17:39:10.908Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,1756,pez_preg,CENTER_RIGHT,boton_preg,CENTER_LEFT,3115,touch_object,0,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,7,2016-04-27T17:39:23.187Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,808,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,8024,touch_object,1,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,8,2016-04-27T17:39:39.454Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,826,lavar_preg,CENTER_LEFT,comer_preg,CENTER_RIGHT,5647,touch_object,0,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,9,2016-04-27T17:39:53.238Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,797,pescar_preg,CENTER_LEFT,nadar_preg,CENTER_RIGHT,1892,touch_object,0,1
A61200E6FEB7473BBB4D8C1E4F48A6FE,Unknown,2016-04-27,"",Espanol_Grupo1_preg,752,1,2016-04-27T17:36:59.000Z,2016-04-27T17:47:10.000Z,10,2016-04-27T17:40:03.255Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,2625,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,7809,touch_object,1,1
