uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,1,2016-05-06T12:29:40.336Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2796,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,8999,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,2,2016-05-06T12:29:59.794Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1165,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,3855,touch_object,0,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,3,2016-05-06T12:30:12.141Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1360,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,1675,touch_object,0,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,4,2016-05-06T12:30:22.473Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1999,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,2479,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,5,2016-05-06T12:30:34.357Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2187,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,1989,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,6,2016-05-06T12:30:46.025Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1784,abrir_imp,CENTER_LEFT,tirar_imp,CENTER_RIGHT,1922,touch_object,0,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,7,2016-05-06T12:30:57.059Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,363,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,5468,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,8,2016-05-06T12:31:13.715Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1716,boton_imp,CENTER_LEFT,pez_imp,CENTER_RIGHT,2076,touch_object,0,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,9,2016-05-06T12:31:24.877Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1132,barrer_imp,CENTER_LEFT,clavar_imp,CENTER_RIGHT,2219,touch_object,0,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,10,2016-05-06T12:31:35.578Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1154,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,2195,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,11,2016-05-06T12:31:46.330Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,566,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,1866,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,12,2016-05-06T12:31:56.179Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,649,tortuga_imp,CENTER_LEFT,mariposa_imp,CENTER_RIGHT,2228,touch_object,0,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,13,2016-05-06T12:32:06.379Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,1239,redondo_imp,CENTER_RIGHT,redondo_imp,CENTER_RIGHT,1908,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,14,2016-05-06T12:32:16.981Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1720,pinguino_imp,CENTER_LEFT,canguro_imp,CENTER_RIGHT,1999,touch_object,0,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,15,2016-05-06T12:32:28.030Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,807,lleno_imp,CENTER_LEFT,lleno_imp,CENTER_LEFT,2143,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,16,2016-05-06T12:32:38.431Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1370,atajar_imp,CENTER_RIGHT,atajar_imp,CENTER_RIGHT,2043,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,17,2016-05-06T12:32:49.284Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,688,colectivo_imp,CENTER_LEFT,colectivo_imp,CENTER_LEFT,2598,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,18,2016-05-06T12:32:59.982Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,1257,gato_imp,CENTER_RIGHT,gato_imp,CENTER_RIGHT,1613,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,19,2016-05-06T12:33:10.284Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,1337,rayado_imp,CENTER_RIGHT,rayado_imp,CENTER_RIGHT,1895,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,20,2016-05-06T12:33:20.950Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1381,helicoptero_imp,CENTER_LEFT,helicoptero_imp,CENTER_LEFT,2462,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,21,2016-05-06T12:33:32.218Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,619,casa_imp,CENTER_LEFT,comida_imp,CENTER_RIGHT,1569,touch_object,0,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,22,2016-05-06T12:33:44.432Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,1802,bosque_imp,CENTER_RIGHT,bosque_imp,CENTER_RIGHT,1946,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,23,2016-05-06T12:33:55.638Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,769,grande_imp,CENTER_RIGHT,grande_imp,CENTER_RIGHT,1742,touch_object,1,1
AA0AE42680D7435BB1AACE7600987186,Unknown,2016-05-06,"",Espanol_Grupo2_imp,600,1,2016-05-06T12:29:39.000Z,2016-05-06T12:39:06.000Z,24,2016-05-06T12:34:05.552Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,1969,tijera_imp,CENTER_LEFT,bicicleta_imp,CENTER_RIGHT,1852,touch_object,0,1
