uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,1,2016-04-28T16:56:02.877Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,2598,oreja_preg,CENTER_RIGHT,nariz_preg,CENTER_LEFT,13452,touch_object,0,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,2,2016-04-28T16:56:26.477Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1179,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,10228,touch_object,1,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,3,2016-04-28T16:56:45.340Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1337,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,3756,touch_object,1,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,4,2016-04-28T16:56:57.873Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,692,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,2898,touch_object,1,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,5,2016-04-28T16:57:08.942Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,3881,abrir_preg,CENTER_LEFT,tirar_preg,CENTER_RIGHT,2497,touch_object,0,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,6,2016-04-28T16:57:22.658Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1790,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,4418,touch_object,1,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,7,2016-04-28T16:57:41.271Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,3821,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,3027,touch_object,1,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,8,2016-04-28T16:57:55.593Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,3889,barrer_preg,CENTER_LEFT,clavar_preg,CENTER_RIGHT,7586,touch_object,0,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,9,2016-04-28T16:58:14.428Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,443,comer_preg,CENTER_RIGHT,lavar_preg,CENTER_LEFT,4261,touch_object,0,1
B22A93C0DF1B49BC8FF4AB506BBFB4CC,Unknown,2016-04-28,"",Espanol_Grupo2_preg,807,1,2016-04-28T16:56:02.000Z,2016-04-28T17:06:44.000Z,10,2016-04-28T16:58:26.478Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,3605,nadar_preg,CENTER_RIGHT,pescar_preg,CENTER_LEFT,4844,touch_object,0,1
