uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,1,2016-04-28T13:09:28.366Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,6039,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,5449,touch_object,1,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,2,2016-04-28T13:09:48.008Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1306,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,2188,touch_object,1,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,3,2016-04-28T13:09:59.183Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,318,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,6774,touch_object,1,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,4,2016-04-28T13:10:13.616Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,901,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,3007,touch_object,1,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,5,2016-04-28T13:10:28.891Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,2323,boton_imp,CENTER_LEFT,pez_imp,CENTER_RIGHT,2376,touch_object,0,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,6,2016-04-28T13:10:41.084Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,175,barrer_imp,CENTER_LEFT,clavar_imp,CENTER_RIGHT,2396,touch_object,0,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,7,2016-04-28T13:10:50.949Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,750,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,2579,touch_object,1,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,8,2016-04-28T13:11:01.616Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,854,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,3019,touch_object,1,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,9,2016-04-28T13:11:12.832Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,829,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,2436,touch_object,1,1
BD775F67106A4C4A9855E400319B1271,Unknown,2016-04-28,"",Espanol_Grupo2_imp,851,1,2016-04-28T13:09:27.000Z,2016-04-28T13:18:49.000Z,10,2016-04-28T13:11:23.449Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,2045,redondo_imp,CENTER_RIGHT,redondo_imp,CENTER_RIGHT,4062,touch_object,1,1
