uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,1,2016-05-06T13:34:09.723Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2061,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,3555,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,2,2016-05-06T13:34:23.130Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,708,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,2943,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,3,2016-05-06T13:34:34.180Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,403,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,3445,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,4,2016-05-06T13:34:45.481Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,486,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,7422,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,5,2016-05-06T13:35:05.409Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1083,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,2216,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,6,2016-05-06T13:35:16.183Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,625,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,4770,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,7,2016-05-06T13:35:29.018Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,290,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,1850,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,8,2016-05-06T13:35:38.584Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,499,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,1562,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,9,2016-05-06T13:35:48.051Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,240,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,5594,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,10,2016-05-06T13:36:01.286Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,226,redondo_imp,CENTER_RIGHT,oscuro_imp,CENTER_LEFT,4179,touch_object,0,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,11,2016-05-06T13:36:13.003Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,437,pinguino_imp,CENTER_LEFT,pinguino_imp,CENTER_LEFT,1527,touch_object,1,1
C35DBA49DA52421D897D023316253F81,Unknown,2016-05-06,"",Espanol_Grupo2_imp,608,1,2016-05-06T13:34:09.000Z,2016-05-06T13:43:05.000Z,12,2016-05-06T13:36:22.438Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,331,lleno_imp,CENTER_LEFT,lleno_imp,CENTER_LEFT,1632,touch_object,1,1
