uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,1,2016-04-27T21:04:17.983Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,4185,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,15055,touch_object,1,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,2,2016-04-27T21:04:44.855Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,3037,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,2840,touch_object,0,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,3,2016-04-27T21:04:58.007Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,4362,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3230,touch_object,1,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,4,2016-04-27T21:05:12.889Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,4611,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,24232,touch_object,1,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,5,2016-04-27T21:05:49.042Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,632,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,6894,touch_object,0,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,6,2016-04-27T21:06:03.842Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2485,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3006,touch_object,1,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,7,2016-04-27T21:06:24.919Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,635,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,9035,touch_object,1,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,8,2016-04-27T21:06:41.979Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,5249,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,10963,touch_object,1,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,9,2016-04-27T21:07:05.495Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1429,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,3983,touch_object,1,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,10,2016-04-27T21:07:18.197Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,549,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,12034,touch_object,1,1
C66A529DC5184208B771713A65FCB071,Unknown,2016-04-27,"",Espanol_Grupo1_imp,553,1,2016-04-27T21:04:17.000Z,2016-04-27T21:16:27.000Z,11,2016-04-27T21:07:38.065Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,4100,mariposa_imp,CENTER_RIGHT,tortuga_imp,CENTER_LEFT,11789,touch_object,0,1
