uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,1,2016-04-28T13:11:28.732Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,2449,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,11904,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,2,2016-04-28T13:11:50.632Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,3970,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,3144,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,3,2016-04-28T13:12:05.200Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,2304,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,2329,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,4,2016-04-28T13:12:17.269Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1270,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,8964,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,5,2016-04-28T13:12:42.313Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,1113,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,2359,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,6,2016-04-28T13:12:53.235Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,526,barrer_preg,CENTER_LEFT,barrer_preg,CENTER_LEFT,12674,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,7,2016-04-28T13:13:13.837Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,1150,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,1963,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,8,2016-04-28T13:13:24.373Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,760,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,1761,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,9,2016-04-28T13:13:34.288Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,1015,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,1659,touch_object,1,1
D820570F5C414C88BC0F3C98D4683A58,Unknown,2016-04-28,"",Espanol_Grupo2_preg,801,1,2016-04-28T13:11:28.000Z,2016-04-28T13:21:22.000Z,10,2016-04-28T13:13:44.438Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,1251,redondo_preg,CENTER_RIGHT,oscuro_preg,CENTER_LEFT,4276,touch_object,0,1
