uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,1,2016-04-28T13:25:04.781Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1751,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,2966,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,2,2016-04-28T13:25:17.334Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,345,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,4285,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,3,2016-04-28T13:25:29.317Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2168,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,4949,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,4,2016-04-28T13:25:43.767Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,814,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,4838,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,5,2016-04-28T13:26:02.070Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1646,boton_imp,CENTER_LEFT,boton_imp,CENTER_LEFT,2410,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,6,2016-04-28T13:26:13.567Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1240,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,16118,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,7,2016-04-28T13:26:38.284Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,4651,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,2143,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,8,2016-04-28T13:26:52.417Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,2146,nadar_imp,CENTER_RIGHT,pescar_imp,CENTER_LEFT,2199,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,9,2016-04-28T13:27:04.050Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,3180,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,2190,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,10,2016-04-28T13:27:16.784Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,2362,redondo_imp,CENTER_RIGHT,oscuro_imp,CENTER_LEFT,8385,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,11,2016-04-28T13:27:34.851Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1461,pinguino_imp,CENTER_LEFT,canguro_imp,CENTER_RIGHT,12762,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,12,2016-04-28T13:27:56.417Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,10221,lleno_imp,CENTER_LEFT,lleno_imp,CENTER_LEFT,3154,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,13,2016-04-28T13:28:17.117Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,3164,atajar_imp,CENTER_RIGHT,inflar_imp,CENTER_LEFT,4207,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,14,2016-04-28T13:28:31.801Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,6658,colectivo_imp,CENTER_LEFT,colectivo_imp,CENTER_LEFT,2082,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,15,2016-04-28T13:28:47.867Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,1518,gato_imp,CENTER_RIGHT,gato_imp,CENTER_RIGHT,5677,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,16,2016-04-28T13:29:02.384Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,5048,rayado_imp,CENTER_RIGHT,rayado_imp,CENTER_RIGHT,6761,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,17,2016-04-28T13:29:21.550Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,2573,helicoptero_imp,CENTER_LEFT,helicoptero_imp,CENTER_LEFT,2150,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,18,2016-04-28T13:29:33.584Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,3160,casa_imp,CENTER_LEFT,casa_imp,CENTER_LEFT,1964,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,19,2016-04-28T13:29:49.351Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,1049,bosque_imp,CENTER_RIGHT,rio_imp,CENTER_LEFT,2059,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,20,2016-04-28T13:29:59.851Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,463,grande_imp,CENTER_RIGHT,grande_imp,CENTER_RIGHT,1511,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,21,2016-04-28T13:30:09.133Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,1808,tijera_imp,CENTER_LEFT,tijera_imp,CENTER_LEFT,1904,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,22,2016-04-28T13:30:20.184Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,5067,atar_imp,CENTER_LEFT,pisar_imp,CENTER_RIGHT,4209,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,23,2016-04-28T13:30:36.768Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,4881,tocar_imp,CENTER_RIGHT,romper_imp,CENTER_LEFT,2720,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,24,2016-04-28T13:30:51.701Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,9052,pato_imp,CENTER_RIGHT,pato_imp,CENTER_RIGHT,2121,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,25,2016-04-28T13:31:10.200Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,3466,grupo_imp,CENTER_LEFT,grupo_imp,CENTER_LEFT,2668,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,26,2016-04-28T13:31:23.668Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,2640,descalzo_imp,CENTER_RIGHT,descalzo_imp,CENTER_RIGHT,11007,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,27,2016-04-28T13:31:44.651Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,3529,boca_imp,CENTER_LEFT,boca_imp,CENTER_LEFT,8684,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,28,2016-04-28T13:32:04.217Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,1382,camion_imp,CENTER_RIGHT,camion_imp,CENTER_RIGHT,1574,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,29,2016-04-28T13:32:14.534Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,1588,pesada_imp,CENTER_RIGHT,pesada_imp,CENTER_RIGHT,9481,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,30,2016-04-28T13:32:32.934Z,0,3,block2,mountain,12,2,sucia_imp,,limpia_imp,,,,,,2586,sucia_imp,CENTER_LEFT,limpia_imp,CENTER_RIGHT,1408,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,31,2016-04-28T13:32:44.251Z,0,3,block2,mountain,13,2,canilla_imp,,vela_imp,,,,,,1630,vela_imp,CENTER_RIGHT,vela_imp,CENTER_RIGHT,1690,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,32,2016-04-28T13:32:54.884Z,0,3,block2,mountain,14,2,lapiz_imp,,pantalon_imp,,,,,,1677,pantalon_imp,CENTER_RIGHT,pantalon_imp,CENTER_RIGHT,2012,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,33,2016-04-28T13:33:08.522Z,0,4,block3,desert,1,2,mueble_imp,,bolso_imp,,,,,,3294,mueble_imp,CENTER_LEFT,mueble_imp,CENTER_LEFT,3116,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,34,2016-04-28T13:33:22.367Z,0,4,block3,desert,2,2,muneca_imp,,mochila_imp,,,,,,587,muneca_imp,CENTER_LEFT,muneca_imp,CENTER_LEFT,1722,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,35,2016-04-28T13:33:32.034Z,0,4,block3,desert,3,2,perro_imp,,nene_imp,,,,,,319,nene_imp,CENTER_RIGHT,nene_imp,CENTER_RIGHT,1858,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,36,2016-04-28T13:33:41.550Z,0,4,block3,desert,4,2,patear_imp,,arrancar_imp,,,,,,750,patear_imp,CENTER_LEFT,patear_imp,CENTER_LEFT,2588,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,37,2016-04-28T13:33:52.234Z,0,4,block3,desert,5,2,llorar_imp,,saltar_imp,,,,,,600,llorar_imp,CENTER_LEFT,llorar_imp,CENTER_LEFT,3448,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,38,2016-04-28T13:34:03.617Z,0,4,block3,desert,6,2,triste_imp,,contento_imp,,,,,,789,contento_imp,CENTER_RIGHT,contento_imp,CENTER_RIGHT,4313,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,39,2016-04-28T13:34:16.101Z,0,4,block3,desert,7,2,lampara_imp,,empanada_imp,,,,,,2807,empanada_imp,CENTER_RIGHT,lampara_imp,CENTER_LEFT,2357,touch_object,0,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,40,2016-04-28T13:34:28.567Z,0,4,block3,desert,8,2,jugar_imp,,dormir_imp,,,,,,1488,jugar_imp,CENTER_LEFT,jugar_imp,CENTER_LEFT,2064,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,41,2016-04-28T13:34:39.434Z,0,4,block3,desert,9,2,barco_imp,,tren_imp,,,,,,1245,tren_imp,CENTER_RIGHT,tren_imp,CENTER_RIGHT,4852,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,42,2016-04-28T13:34:52.918Z,0,4,block3,desert,10,2,atrapar_imp,,soplar_imp,,,,,,1564,soplar_imp,CENTER_RIGHT,soplar_imp,CENTER_RIGHT,2185,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,43,2016-04-28T13:35:04.017Z,0,4,block3,desert,11,2,mosquito_imp,,loro_imp,,,,,,1652,mosquito_imp,CENTER_LEFT,mosquito_imp,CENTER_LEFT,1851,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,44,2016-04-28T13:35:14.867Z,0,4,block3,desert,12,2,zapatillas_imp,,camas_imp,,,,,,1848,camas_imp,CENTER_RIGHT,camas_imp,CENTER_RIGHT,1961,touch_object,1,1
DBA5B54C60BB4D5581C993B692B71C94,Unknown,2016-04-28,"",Espanol_Grupo2_imp,852,1,2016-04-28T13:25:03.000Z,2016-04-28T13:35:42.000Z,45,2016-04-28T13:35:26.051Z,0,4,block3,desert,13,2,peinar_imp,,reir_imp,,,,,,1154,peinar_imp,CENTER_LEFT,peinar_imp,CENTER_LEFT,2050,touch_object,1,1
