uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,1,2016-04-28T16:54:50.014Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,855,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,5989,touch_object,1,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,2,2016-04-28T16:55:04.919Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2112,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,1600,touch_object,0,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,3,2016-04-28T16:55:15.952Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,675,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,2510,touch_object,1,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,4,2016-04-28T16:55:26.452Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,516,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,3234,touch_object,1,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,5,2016-04-28T16:55:37.568Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,710,abrir_imp,CENTER_LEFT,tirar_imp,CENTER_RIGHT,4257,touch_object,0,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,6,2016-04-28T16:55:49.869Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,152,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,3574,touch_object,1,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,7,2016-04-28T16:56:02.867Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1695,boton_imp,CENTER_LEFT,pez_imp,CENTER_RIGHT,2599,touch_object,0,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,8,2016-04-28T16:56:14.602Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1331,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,2903,touch_object,1,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,9,2016-04-28T16:56:26.183Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,4223,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,2335,touch_object,1,1
EC144E2D3FB64275ADD85E438C92B160,Unknown,2016-04-28,"",Espanol_Grupo2_imp,856,1,2016-04-28T16:54:48.000Z,2016-04-28T17:03:29.000Z,10,2016-04-28T16:56:40.085Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1891,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,1996,touch_object,1,1
