uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,1,2016-04-27T17:18:13.602Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,647,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,5881,touch_object,1,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,2,2016-04-27T17:18:27.766Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,576,verde_preg,CENTER_RIGHT,amarillo_preg,CENTER_LEFT,1736,touch_object,0,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,3,2016-04-27T17:18:37.400Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1159,verde_preg,CENTER_RIGHT,amarillo_preg,CENTER_LEFT,1872,touch_object,0,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,4,2016-04-27T17:18:47.768Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,3083,verde_preg,CENTER_RIGHT,amarillo_preg,CENTER_LEFT,1580,touch_object,0,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,5,2016-04-27T17:18:59.750Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1804,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,1599,touch_object,1,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,6,2016-04-27T17:19:10.585Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,775,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,2116,touch_object,1,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,7,2016-04-27T17:19:20.868Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,705,tirar_preg,CENTER_RIGHT,abrir_preg,CENTER_LEFT,2637,touch_object,0,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,8,2016-04-27T17:19:31.520Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,2515,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,2577,touch_object,1,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,9,2016-04-27T17:19:47.262Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,5063,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,2012,touch_object,1,1
F1984777B1914DD2801E032BD56AA2BB,Unknown,2016-04-27,"",Espanol_Grupo1_preg,751,2,2016-04-27T17:18:13.000Z,2016-04-27T17:28:21.000Z,10,2016-04-27T17:20:01.787Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,86,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,3559,touch_object,1,1
