uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,1,2016-05-06T14:23:54.152Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,523,oreja_preg,CENTER_RIGHT,oreja_preg,CENTER_RIGHT,7052,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,2,2016-05-06T14:24:09.384Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,2143,amarillo_preg,CENTER_LEFT,amarillo_preg,CENTER_LEFT,4769,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,3,2016-05-06T14:24:23.764Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,191,correr_preg,CENTER_RIGHT,correr_preg,CENTER_RIGHT,3038,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,4,2016-05-06T14:24:34.399Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,809,abrir_preg,CENTER_LEFT,abrir_preg,CENTER_LEFT,5099,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,5,2016-05-06T14:24:51.774Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,417,boton_preg,CENTER_LEFT,boton_preg,CENTER_LEFT,2885,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,6,2016-05-06T14:25:02.600Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,1294,barrer_preg,CENTER_LEFT,barrer_preg,CENTER_LEFT,2861,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,7,2016-05-06T14:25:14.185Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,1386,comer_preg,CENTER_RIGHT,comer_preg,CENTER_RIGHT,2048,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,8,2016-05-06T14:25:25.052Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,847,nadar_preg,CENTER_RIGHT,nadar_preg,CENTER_RIGHT,3589,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,9,2016-05-06T14:25:36.935Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,1697,tortuga_preg,CENTER_LEFT,tortuga_preg,CENTER_LEFT,2485,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,10,2016-05-06T14:25:48.586Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,928,redondo_preg,CENTER_RIGHT,redondo_preg,CENTER_RIGHT,3491,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,11,2016-05-06T14:26:00.420Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,2232,pinguino_preg,CENTER_LEFT,pinguino_preg,CENTER_LEFT,2602,touch_object,1,1
F77130A59DB848DF8EB02F0039CD222A,Unknown,2016-05-06,"",Espanol_Grupo2_preg,611,1,2016-05-06T14:23:53.000Z,2016-05-06T14:32:49.000Z,12,2016-05-06T14:26:12.687Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,1321,lleno_preg,CENTER_LEFT,alto_preg,CENTER_RIGHT,1842,touch_object,0,1
