uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,1,2016-04-27T21:37:12.939Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,5340,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,14956,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,2,2016-04-27T21:37:41.059Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2260,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2001,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,3,2016-04-27T21:37:52.634Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,207,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2695,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,4,2016-04-27T21:38:02.852Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,679,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2714,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,5,2016-04-27T21:38:13.536Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,169,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2269,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,6,2016-04-27T21:38:23.236Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,402,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,3848,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,7,2016-04-27T21:38:34.771Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,7001,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2127,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,8,2016-04-27T21:38:51.171Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,4164,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2501,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,9,2016-04-27T21:39:05.122Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,173,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,6248,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,10,2016-04-27T21:39:18.806Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,38,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2288,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,11,2016-04-27T21:39:36.547Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1314,pez_imp,CENTER_RIGHT,boton_imp,CENTER_LEFT,2487,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,12,2016-04-27T21:39:47.708Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,607,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,4249,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,13,2016-04-27T21:39:59.892Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,271,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,8645,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,14,2016-04-27T21:40:16.092Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,331,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,4298,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,15,2016-04-27T21:40:28.027Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,131,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,8586,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,16,2016-04-27T21:40:44.028Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,3940,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,4239,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,17,2016-04-27T21:40:59.496Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,5178,canguro_imp,CENTER_RIGHT,pinguino_imp,CENTER_LEFT,13236,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,18,2016-04-27T21:41:25.181Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,150,alto_imp,CENTER_RIGHT,lleno_imp,CENTER_LEFT,3939,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,19,2016-04-27T21:41:36.547Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,192,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,1646,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,20,2016-04-27T21:41:45.682Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,630,avion_imp,CENTER_RIGHT,colectivo_imp,CENTER_LEFT,4034,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,21,2016-04-27T21:41:57.615Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,286,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2406,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,22,2016-04-27T21:42:07.599Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,220,peludo_imp,CENTER_LEFT,rayado_imp,CENTER_RIGHT,3764,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,23,2016-04-27T21:42:18.866Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,221,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,4158,touch_object,1,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,24,2016-04-27T21:42:30.533Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,2968,comida_imp,CENTER_RIGHT,casa_imp,CENTER_LEFT,3655,touch_object,0,1
F814F390C3E7421480A0F7B6A67C983F,Unknown,2016-04-27,"",Espanol_Grupo1_imp,555,2,2016-04-27T21:37:11.000Z,2016-04-27T21:47:48.000Z,25,2016-04-27T21:42:47.355Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,289,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,1481,touch_object,1,1
