uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,1,2016-04-27T20:35:17.145Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,3797,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,13457,touch_object,1,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,2,2016-04-27T20:35:42.182Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1343,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3308,touch_object,1,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,3,2016-04-27T20:35:54.143Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,668,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,8534,touch_object,0,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,4,2016-04-27T20:36:10.611Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2676,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2648,touch_object,1,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,5,2016-04-27T20:36:23.228Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,4243,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,2204,touch_object,0,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,6,2016-04-27T20:36:36.962Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,273,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2173,touch_object,1,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,7,2016-04-27T20:36:54.073Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,387,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3037,touch_object,1,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,8,2016-04-27T20:37:04.864Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,156,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2297,touch_object,1,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,9,2016-04-27T20:37:14.631Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,107,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,1504,touch_object,0,1
FD02B0CB5B12452194F584CB6419EDAD,Unknown,2016-04-27,"",Espanol_Grupo1_imp,551,1,2016-04-27T20:35:16.000Z,2016-04-27T20:44:08.000Z,10,2016-04-27T20:37:23.531Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,152,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,1538,touch_object,0,1
