uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,1,2016-04-27T20:49:04.885Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,19225,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3688,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,2,2016-04-27T20:49:35.611Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,3487,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,11247,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,3,2016-04-27T20:49:57.638Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,670,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,14332,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,4,2016-04-27T20:50:19.941Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,5040,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,14934,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,5,2016-04-27T20:51:07.963Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,545,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,4545,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,6,2016-04-27T20:51:20.426Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,77,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,3161,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,7,2016-04-27T20:51:30.977Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,136,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,2033,touch_object,0,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,8,2016-04-27T20:51:40.412Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,136,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,3327,touch_object,0,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,9,2016-04-27T20:51:51.162Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,289,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,3117,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,10,2016-04-27T20:52:01.862Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,365,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,1984,touch_object,0,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,11,2016-04-27T20:52:11.480Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,261,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,3611,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,12,2016-04-27T20:52:22.646Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,239,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,1547,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,13,2016-04-27T20:52:31.731Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,612,inflar_imp,CENTER_LEFT,atajar_imp,CENTER_RIGHT,1475,touch_object,0,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,14,2016-04-27T20:52:41.097Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,645,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1287,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,15,2016-04-27T20:52:50.314Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,413,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2571,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,16,2016-04-27T20:53:00.598Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,237,peludo_imp,CENTER_LEFT,rayado_imp,CENTER_RIGHT,1729,touch_object,0,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,17,2016-04-27T20:53:09.833Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,209,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,1724,touch_object,1,1
FE8624717EA2470B81343ABA6EC34A13,Unknown,2016-04-27,"",Espanol_Grupo1_imp,552,1,2016-04-27T20:49:03.000Z,2016-04-27T20:57:55.000Z,18,2016-04-27T20:53:19.083Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,290,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,1379,touch_object,1,1
