uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,1,2016-05-18T11:19:08.805Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,562,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,5753,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,2,2016-05-18T11:19:22.868Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,412,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,1372,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,3,2016-05-18T11:19:31.995Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,136,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,2049,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,4,2016-05-18T11:19:41.463Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,297,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,2195,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,5,2016-05-18T11:19:56.708Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,491,boton_imp,CENTER_LEFT,pez_imp,CENTER_RIGHT,10187,touch_object,0,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,6,2016-05-18T11:20:14.749Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,565,barrer_imp,CENTER_LEFT,barrer_imp,CENTER_LEFT,1544,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,7,2016-05-18T11:20:24.153Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,194,comer_imp,CENTER_RIGHT,comer_imp,CENTER_RIGHT,2042,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,8,2016-05-18T11:20:33.699Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,44,nadar_imp,CENTER_RIGHT,nadar_imp,CENTER_RIGHT,1369,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,9,2016-05-18T11:20:42.400Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,49,tortuga_imp,CENTER_LEFT,tortuga_imp,CENTER_LEFT,1174,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,10,2016-05-18T11:20:50.917Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,3383,redondo_imp,CENTER_RIGHT,oscuro_imp,CENTER_LEFT,1407,touch_object,0,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,11,2016-05-18T11:21:02.984Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1332,pinguino_imp,CENTER_LEFT,pinguino_imp,CENTER_LEFT,1173,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,12,2016-05-18T11:21:12.768Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,865,lleno_imp,CENTER_LEFT,lleno_imp,CENTER_LEFT,1511,touch_object,1,1
8DCB976C6E594979899FA0DC40AC6D5B,Unknown,2016-05-18,"",Espanol_Grupo2_imp,492,1,2016-05-18T11:19:07.000Z,2016-05-18T11:27:39.000Z,13,2016-05-18T11:21:22.435Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,2408,atajar_imp,CENTER_RIGHT,inflar_imp,CENTER_LEFT,2789,touch_object,0,1
