uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,1,2016-05-18T00:23:03.201Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,140,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,15361,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,2,2016-05-18T00:23:26.476Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,142,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,1677,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,3,2016-05-18T00:23:35.603Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1765,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,11228,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,4,2016-05-18T00:23:55.905Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,828,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,3534,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,5,2016-05-18T00:24:10.112Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,1346,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,1470,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,6,2016-05-18T00:24:20.288Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,2239,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,3210,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,7,2016-05-18T00:24:33.056Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,457,lavar_preg,CENTER_LEFT,comer_preg,CENTER_RIGHT,1555,touch_object,0,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,8,2016-05-18T00:24:42.374Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,1485,pescar_preg,CENTER_LEFT,nadar_preg,CENTER_RIGHT,1301,touch_object,0,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,9,2016-05-18T00:24:52.440Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,3075,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,1638,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,10,2016-05-18T00:25:04.441Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,147,oscuro_preg,CENTER_LEFT,redondo_preg,CENTER_RIGHT,3946,touch_object,0,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,11,2016-05-18T00:25:15.825Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,728,canguro_preg,CENTER_RIGHT,canguro_preg,CENTER_RIGHT,929,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,12,2016-05-18T00:25:24.776Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,42,alto_preg,CENTER_RIGHT,alto_preg,CENTER_RIGHT,1723,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,13,2016-05-18T00:25:33.842Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,45,inflar_preg,CENTER_LEFT,atajar_preg,CENTER_RIGHT,2387,touch_object,0,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,14,2016-05-18T00:25:43.544Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,872,avion_preg,CENTER_RIGHT,avion_preg,CENTER_RIGHT,882,touch_object,1,1
DE6E6E074C614C18A8A6CF7E04C29A56,Unknown,2016-05-18,"",Espanol_Grupo1_preg,491,1,2016-05-18T00:23:02.000Z,2016-05-18T00:30:51.000Z,15,2016-05-18T00:25:52.594Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,116,caballo_preg,CENTER_LEFT,caballo_preg,CENTER_LEFT,1794,touch_object,1,1
