uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,1,2016-05-13T21:54:19.526Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2272,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,1966,touch_object,0,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,2,2016-05-13T21:54:31.286Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,847,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3470,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,3,2016-05-13T21:54:43.003Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2319,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,3253,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,4,2016-05-13T21:54:55.887Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1685,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,7532,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,5,2016-05-13T21:55:12.421Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,3035,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,4709,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,6,2016-05-13T21:55:38.228Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,5193,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1599,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,7,2016-05-13T21:55:52.407Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,788,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,4313,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,8,2016-05-13T21:56:04.824Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1808,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2392,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,9,2016-05-13T21:56:16.328Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,3681,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2920,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,10,2016-05-13T21:56:30.225Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,5914,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1729,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,11,2016-05-13T21:56:45.159Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,2532,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,5530,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,12,2016-05-13T21:57:00.510Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,1627,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1565,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,13,2016-05-13T21:57:10.995Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1510,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,2593,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,14,2016-05-13T21:57:22.395Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,454,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,2839,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,15,2016-05-13T21:57:33.012Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,1330,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1555,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,16,2016-05-13T21:57:43.196Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,265,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2077,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,17,2016-05-13T21:57:52.863Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,378,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,3264,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,18,2016-05-13T21:58:03.814Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,396,accidente_imp,CENTER_RIGHT,accidente_imp,CENTER_RIGHT,3264,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,19,2016-05-13T21:58:14.765Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,750,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,2080,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,20,2016-05-13T21:58:28.788Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,1076,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,3335,touch_object,1,1
A0467F1FFC8B419B92DDD7776D99547F,Unknown,2016-05-13,"",Espanol_Grupo1_imp,619,3,2016-05-13T21:54:17.000Z,2016-05-13T22:03:43.000Z,21,2016-05-13T21:58:40.566Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,2601,rojo_imp,CENTER_LEFT,grande_imp,CENTER_RIGHT,3952,touch_object,0,1
