uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,1,2016-05-10T17:00:32.664Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1311,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,1929,touch_object,0,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,2,2016-05-10T17:00:43.606Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1113,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,1711,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,3,2016-05-10T17:00:53.904Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,397,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1419,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,4,2016-05-10T17:01:03.071Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,941,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2114,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,5,2016-05-10T17:01:13.471Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,828,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3290,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,6,2016-05-10T17:01:26.852Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,318,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1529,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,7,2016-05-10T17:01:36.154Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,400,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2395,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,8,2016-05-10T17:01:46.321Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,593,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,1576,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,9,2016-05-10T17:01:55.821Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,441,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2244,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,10,2016-05-10T17:02:05.854Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,304,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1632,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,11,2016-05-10T17:02:15.120Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,653,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,1913,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,12,2016-05-10T17:02:25.048Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,675,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1973,touch_object,1,1
18C5002C9CF34705AD62CA781814B733,Unknown,2016-05-10,"",Espanol_Grupo1_imp,655,1,2016-05-10T17:00:31.000Z,2016-05-10T17:08:45.000Z,13,2016-05-10T17:02:35.054Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1111,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,3270,touch_object,1,1
