uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,1,2016-05-10T17:36:14.487Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,878,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3240,touch_object,1,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,2,2016-05-10T17:36:26.711Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,3060,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1646,touch_object,1,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,3,2016-05-10T17:36:38.759Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,847,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2864,touch_object,1,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,4,2016-05-10T17:36:49.843Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,563,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,4971,touch_object,0,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,5,2016-05-10T17:37:02.694Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,407,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,3025,touch_object,0,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,6,2016-05-10T17:37:13.443Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1151,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,5994,touch_object,1,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,7,2016-05-10T17:37:30.546Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1431,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1606,touch_object,1,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,8,2016-05-10T17:37:41.093Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,786,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2275,touch_object,1,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,9,2016-05-10T17:37:51.493Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,63,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2430,touch_object,1,1
23C1C48A5AAA4A6A8157C2B5907FED21,Unknown,2016-05-10,"",Espanol_Grupo1_imp,668,1,2016-05-10T17:36:12.000Z,2016-05-10T17:44:55.000Z,10,2016-05-10T17:38:01.310Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,587,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2428,touch_object,1,1
