uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,1,2016-05-10T18:50:11.330Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1553,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,2634,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,2,2016-05-10T18:50:23.413Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1106,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1865,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,3,2016-05-10T18:50:33.729Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1687,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2928,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,4,2016-05-10T18:50:45.714Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,549,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3913,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,5,2016-05-10T18:50:59.277Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,827,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1837,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,6,2016-05-10T18:51:09.614Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,355,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2171,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,7,2016-05-10T18:51:19.496Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,518,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,1891,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,8,2016-05-10T18:51:29.230Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,551,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2642,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,9,2016-05-10T18:51:39.747Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,15221,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1664,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,10,2016-05-10T18:52:03.979Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,709,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,2778,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,11,2016-05-10T18:52:15.047Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,438,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1779,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,12,2016-05-10T18:52:24.663Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,3527,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,2607,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,13,2016-05-10T18:52:38.179Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,517,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,2379,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,14,2016-05-10T18:52:48.413Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,924,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1737,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,15,2016-05-10T18:52:58.413Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,18556,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,2054,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,16,2016-05-10T18:53:26.380Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,17175,peludo_imp,CENTER_LEFT,peludo_imp,CENTER_LEFT,2241,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,17,2016-05-10T18:53:53.129Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,1048,accidente_imp,CENTER_RIGHT,helicoptero_imp,CENTER_LEFT,4027,touch_object,0,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,18,2016-05-10T18:54:05.513Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,503,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,2352,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,19,2016-05-10T18:54:17.848Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,2256,rio_imp,CENTER_LEFT,rio_imp,CENTER_LEFT,1963,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,20,2016-05-10T18:54:29.530Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,2256,rojo_imp,CENTER_LEFT,rojo_imp,CENTER_LEFT,4823,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,21,2016-05-10T18:54:43.946Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,434,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,2051,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,22,2016-05-10T18:54:53.763Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,5412,pisar_imp,CENTER_RIGHT,pisar_imp,CENTER_RIGHT,8399,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,23,2016-05-10T18:55:14.929Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,5818,romper_imp,CENTER_LEFT,romper_imp,CENTER_LEFT,3422,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,24,2016-05-10T18:55:31.496Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,783,hombre_imp,CENTER_LEFT,hombre_imp,CENTER_LEFT,2235,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,25,2016-05-10T18:55:41.846Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,882,medico_imp,CENTER_RIGHT,medico_imp,CENTER_RIGHT,3285,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,26,2016-05-10T18:55:53.363Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,919,viejo_imp,CENTER_LEFT,viejo_imp,CENTER_LEFT,3391,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,27,2016-05-10T18:56:05.029Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,2623,cabeza_imp,CENTER_RIGHT,cabeza_imp,CENTER_RIGHT,3059,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,28,2016-05-10T18:56:18.029Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,2595,gorro_imp,CENTER_LEFT,gorro_imp,CENTER_LEFT,1930,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,29,2016-05-10T18:56:29.929Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,6969,rota_imp,CENTER_LEFT,rota_imp,CENTER_LEFT,2773,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,30,2016-05-10T18:56:47.028Z,0,3,block2,mountain,12,2,sucia_imp,,limpia_imp,,,,,,1183,limpia_imp,CENTER_RIGHT,limpia_imp,CENTER_RIGHT,1783,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,31,2016-05-10T18:56:57.329Z,0,3,block2,mountain,13,2,canilla_imp,,vela_imp,,,,,,596,canilla_imp,CENTER_LEFT,canilla_imp,CENTER_LEFT,3101,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,32,2016-05-10T18:57:08.411Z,0,3,block2,mountain,14,2,lapiz_imp,,pantalon_imp,,,,,,8400,lapiz_imp,CENTER_LEFT,lapiz_imp,CENTER_LEFT,2035,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,33,2016-05-10T18:57:29.329Z,0,4,block3,desert,1,2,mueble_imp,,bolso_imp,,,,,,813,bolso_imp,CENTER_RIGHT,mueble_imp,CENTER_LEFT,4112,touch_object,0,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,34,2016-05-10T18:57:41.694Z,0,4,block3,desert,2,2,muneca_imp,,mochila_imp,,,,,,612,mochila_imp,CENTER_RIGHT,mochila_imp,CENTER_RIGHT,2206,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,35,2016-05-10T18:57:51.860Z,0,4,block3,desert,3,2,perro_imp,,nene_imp,,,,,,1847,perro_imp,CENTER_LEFT,perro_imp,CENTER_LEFT,4068,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,36,2016-05-10T18:58:05.112Z,0,4,block3,desert,4,2,patear_imp,,arrancar_imp,,,,,,6319,arrancar_imp,CENTER_RIGHT,arrancar_imp,CENTER_RIGHT,8832,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,37,2016-05-10T18:58:27.644Z,0,4,block3,desert,5,2,llorar_imp,,saltar_imp,,,,,,352,saltar_imp,CENTER_RIGHT,saltar_imp,CENTER_RIGHT,4087,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,38,2016-05-10T18:58:39.427Z,0,4,block3,desert,6,2,triste_imp,,contento_imp,,,,,,2537,triste_imp,CENTER_LEFT,triste_imp,CENTER_LEFT,2846,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,39,2016-05-10T18:58:52.161Z,0,4,block3,desert,7,2,lampara_imp,,empanada_imp,,,,,,338,lampara_imp,CENTER_LEFT,lampara_imp,CENTER_LEFT,3052,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,40,2016-05-10T18:59:02.894Z,0,4,block3,desert,8,2,jugar_imp,,dormir_imp,,,,,,1155,dormir_imp,CENTER_RIGHT,dormir_imp,CENTER_RIGHT,3976,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,41,2016-05-10T18:59:15.377Z,0,4,block3,desert,9,2,barco_imp,,tren_imp,,,,,,130,barco_imp,CENTER_LEFT,barco_imp,CENTER_LEFT,3353,touch_object,1,1
42540BADC0C64B618B7BA30E9E150B18,Unknown,2016-05-10,"",Espanol_Grupo1_imp,672,1,2016-05-10T18:50:09.000Z,2016-05-10T19:00:30.000Z,42,2016-05-10T18:59:26.194Z,0,4,block3,desert,10,2,atrapar_imp,,soplar_imp,,,,,,8210,atrapar_imp,CENTER_LEFT,soplar_imp,CENTER_RIGHT,5931,touch_object,0,1
