uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,1,2016-05-10T17:23:58.228Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,685,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,12563,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,2,2016-05-10T17:24:19.747Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,4046,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2711,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,3,2016-05-10T17:24:33.844Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,880,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,8686,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,4,2016-05-10T17:24:50.764Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,929,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,5082,touch_object,0,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,5,2016-05-10T17:25:04.079Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,296,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,5481,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,6,2016-05-10T17:25:20.216Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1126,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2238,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,7,2016-05-10T17:25:31.311Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,2163,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2516,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,8,2016-05-10T17:25:43.344Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,2074,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2869,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,9,2016-05-10T17:25:55.643Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,841,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2543,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,10,2016-05-10T17:26:06.344Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,631,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1472,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,11,2016-05-10T17:26:15.777Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,386,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,2311,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,12,2016-05-10T17:26:25.861Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,410,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1380,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,13,2016-05-10T17:26:34.977Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,297,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,1532,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,14,2016-05-10T17:26:44.211Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,206,inflar_imp,CENTER_LEFT,inflar_imp,CENTER_LEFT,2138,touch_object,1,1
44995C884500470985780ED13D560339,Unknown,2016-05-10,"",Espanol_Grupo1_imp,667,1,2016-05-10T17:23:56.000Z,2016-05-10T17:33:04.000Z,15,2016-05-10T17:26:53.927Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,96,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,1907,touch_object,1,1
