uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,1,2016-05-10T16:48:13.890Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,2775,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,7698,touch_object,0,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,2,2016-05-10T16:48:32.938Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1084,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,12142,touch_object,1,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,3,2016-05-10T16:48:53.689Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1141,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2446,touch_object,1,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,4,2016-05-10T16:49:04.604Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,771,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,2187,touch_object,1,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,5,2016-05-10T16:49:14.920Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,697,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,15769,touch_object,1,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,6,2016-05-10T16:49:43.236Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1810,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1844,touch_object,1,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,7,2016-05-10T16:49:54.370Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1511,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,11713,touch_object,1,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,8,2016-05-10T16:50:14.920Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,957,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2532,touch_object,1,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,9,2016-05-10T16:50:25.771Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,917,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,1724,touch_object,1,1
4BBCE87492B847559FD9622CE0FE9AE6,Unknown,2016-05-10,"",Espanol_Grupo1_imp,654,1,2016-05-10T16:48:11.000Z,2016-05-10T16:57:39.000Z,10,2016-05-10T16:50:35.754Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,718,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2160,touch_object,1,1
