uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,1,2016-05-14T00:36:35.677Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,299,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,7635,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,2,2016-05-14T00:36:51.292Z,1,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,962,verde_preg,CENTER_RIGHT,amarillo_preg,CENTER_LEFT,1506,touch_object,0,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,3,2016-05-14T00:37:01.041Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1106,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,1381,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,4,2016-05-14T00:37:10.827Z,1,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,1810,sonreir_preg,CENTER_LEFT,correr_preg,CENTER_RIGHT,1631,touch_object,0,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,5,2016-05-14T00:37:21.560Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,2150,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,3182,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,6,2016-05-14T00:37:34.177Z,1,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,5158,tirar_preg,CENTER_RIGHT,abrir_preg,CENTER_LEFT,2858,touch_object,0,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,7,2016-05-14T00:37:49.479Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,1370,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,1328,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,8,2016-05-14T00:38:07.322Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,1589,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,1380,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,9,2016-05-14T00:38:17.663Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,1046,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,2266,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,10,2016-05-14T00:38:28.313Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,975,lavar_preg,CENTER_LEFT,lavar_preg,CENTER_LEFT,3458,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,11,2016-05-14T00:38:40.081Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,924,pescar_preg,CENTER_LEFT,pescar_preg,CENTER_LEFT,2069,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,12,2016-05-14T00:38:50.365Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,2532,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,1622,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,13,2016-05-14T00:39:01.832Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,320,oscuro_preg,CENTER_LEFT,redondo_preg,CENTER_RIGHT,1786,touch_object,0,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,14,2016-05-14T00:39:11.216Z,0,2,block1,beach,7,2,pinguino_preg,,canguro_preg,,,,,,203,canguro_preg,CENTER_RIGHT,canguro_preg,CENTER_RIGHT,1813,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,15,2016-05-14T00:39:20.584Z,0,2,block1,beach,8,2,lleno_preg,,alto_preg,,,,,,170,alto_preg,CENTER_RIGHT,alto_preg,CENTER_RIGHT,3224,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,16,2016-05-14T00:39:31.284Z,0,2,block1,beach,9,2,inflar_preg,,atajar_preg,,,,,,2242,inflar_preg,CENTER_LEFT,inflar_preg,CENTER_LEFT,1703,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,17,2016-05-14T00:39:42.568Z,0,2,block1,beach,10,2,colectivo_preg,,avion_preg,,,,,,344,avion_preg,CENTER_RIGHT,avion_preg,CENTER_RIGHT,2062,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,18,2016-05-14T00:39:52.286Z,0,2,block1,beach,11,2,caballo_preg,,gato_preg,,,,,,2826,caballo_preg,CENTER_LEFT,caballo_preg,CENTER_LEFT,1109,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,19,2016-05-14T00:40:03.518Z,0,2,block1,beach,12,2,peludo_preg,,rayado_preg,,,,,,218,peludo_preg,CENTER_LEFT,peludo_preg,CENTER_LEFT,1796,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,20,2016-05-14T00:40:12.836Z,0,2,block1,beach,13,2,helicoptero_preg,,accidente_preg,,,,,,1163,accidente_preg,CENTER_RIGHT,accidente_preg,CENTER_RIGHT,3163,touch_object,1,1
6F2A7A1FE0A94498851FC4F73E048004,Unknown,2016-05-14,"",Espanol_Grupo1_preg,621,2,2016-05-14T00:36:34.000Z,2016-05-14T00:45:37.000Z,21,2016-05-14T00:40:24.453Z,0,2,block1,beach,14,2,casa_preg,,comida_preg,,,,,,653,comida_preg,CENTER_RIGHT,comida_preg,CENTER_RIGHT,1309,touch_object,1,1
