uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,1,2016-05-10T14:02:00.564Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,3295,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,6488,touch_object,1,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,2,2016-05-10T14:02:18.186Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1944,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2927,touch_object,1,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,3,2016-05-10T14:02:30.386Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,509,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,6799,touch_object,0,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,4,2016-05-10T14:02:44.985Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,9104,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,8829,touch_object,1,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,5,2016-05-10T14:03:10.252Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,3662,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,10863,touch_object,1,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,6,2016-05-10T14:03:34.387Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1344,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1832,touch_object,1,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,7,2016-05-10T14:03:45.018Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,429,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,2662,touch_object,1,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,8,2016-05-10T14:03:55.435Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1759,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,2635,touch_object,0,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,9,2016-05-10T14:04:07.135Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,546,pescar_imp,CENTER_LEFT,nadar_imp,CENTER_RIGHT,1871,touch_object,0,1
7AB4210F987144D98CC5586967061810,Unknown,2016-05-10,"",Espanol_Grupo1_imp,652,1,2016-05-10T14:01:58.000Z,2016-05-10T14:12:00.000Z,10,2016-05-10T14:04:16.868Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,653,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1882,touch_object,1,1
