uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,1,2016-05-10T19:04:11.985Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1065,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,14011,touch_object,1,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,2,2016-05-10T19:04:35.262Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,176,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,7662,touch_object,1,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,3,2016-05-10T19:04:50.460Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,3328,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,3465,touch_object,0,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,4,2016-05-10T19:05:04.580Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1254,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4158,touch_object,1,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,5,2016-05-10T19:05:17.294Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,611,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3708,touch_object,1,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,6,2016-05-10T19:05:33.015Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,636,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2123,touch_object,1,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,7,2016-05-10T19:05:43.427Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,697,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,3401,touch_object,1,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,8,2016-05-10T19:05:54.861Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1615,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2970,touch_object,1,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,9,2016-05-10T19:06:06.761Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,434,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,3212,touch_object,1,1
7E105EDEB64745C8B27A06D8DABC7BB7,Unknown,2016-05-10,"",Espanol_Grupo1_imp,673,1,2016-05-10T19:04:09.000Z,,10,2016-05-10T19:06:17.744Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,595,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2106,touch_object,1,1
