uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,1,2016-05-10T14:16:26.389Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,3163,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,9708,touch_object,1,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,2,2016-05-10T14:16:47.455Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,2813,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,4218,touch_object,1,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,3,2016-05-10T14:17:01.804Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2214,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,10105,touch_object,0,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,4,2016-05-10T14:17:21.404Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,2324,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,6905,touch_object,1,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,5,2016-05-10T14:17:37.953Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,3359,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,4675,touch_object,0,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,6,2016-05-10T14:17:53.337Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1003,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,2957,touch_object,1,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,7,2016-05-10T14:18:09.618Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,1163,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,2919,touch_object,1,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,8,2016-05-10T14:18:21.372Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,454,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,5779,touch_object,1,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,9,2016-05-10T14:18:34.954Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1078,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,9154,touch_object,1,1
D66AA3E4B6D0489D8CE4D8E831A3EDFC,Unknown,2016-05-10,"",Espanol_Grupo1_imp,653,1,2016-05-10T14:16:24.000Z,2016-05-10T14:26:35.000Z,10,2016-05-10T14:18:52.537Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1267,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,11435,touch_object,1,1
