uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,1,2016-05-14T00:16:15.569Z,1,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,300,nariz_preg,CENTER_LEFT,oreja_preg,CENTER_RIGHT,3792,touch_object,0,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,2,2016-05-14T00:16:27.117Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,883,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,2220,touch_object,1,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,3,2016-05-14T00:16:37.578Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,186,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,2129,touch_object,1,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,4,2016-05-14T00:16:47.195Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,207,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,5795,touch_object,1,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,5,2016-05-14T00:17:00.496Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,2899,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,5163,touch_object,1,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,6,2016-05-14T00:17:25.783Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,128,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,3382,touch_object,1,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,7,2016-05-14T00:17:36.682Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,1132,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,2988,touch_object,1,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,8,2016-05-14T00:17:48.115Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,157,lavar_preg,CENTER_LEFT,lavar_preg,CENTER_LEFT,3296,touch_object,1,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,9,2016-05-14T00:17:58.865Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,828,pescar_preg,CENTER_LEFT,pescar_preg,CENTER_LEFT,2221,touch_object,1,1
EA9672FF2D164B9292012B11B0216391,Unknown,2016-05-14,"",Espanol_Grupo1_preg,620,2,2016-05-14T00:16:13.000Z,2016-05-14T00:25:08.000Z,10,2016-05-14T00:18:09.215Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,588,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,1878,touch_object,1,1
