uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,1,2016-05-10T13:48:44.246Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,15001,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,4949,touch_object,0,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,2,2016-05-10T13:49:12.804Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,3892,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,10178,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,3,2016-05-10T13:49:34.386Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,5170,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2101,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,4,2016-05-10T13:49:48.985Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1384,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3449,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,5,2016-05-10T13:50:01.133Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,777,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,9014,touch_object,0,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,6,2016-05-10T13:50:18.219Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,2568,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3083,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,7,2016-05-10T13:50:35.510Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,2613,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3036,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,8,2016-05-10T13:50:48.592Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,886,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,6009,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,9,2016-05-10T13:51:02.836Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,2720,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2791,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,10,2016-05-10T13:51:15.686Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,457,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,3041,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,11,2016-05-10T13:51:26.518Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,1906,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,1871,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,12,2016-05-10T13:51:37.635Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,828,oscuro_imp,CENTER_LEFT,oscuro_imp,CENTER_LEFT,2660,touch_object,1,1
EBDAC2A621CF44D8941F9A0C478BC63D,Unknown,2016-05-10,"",Espanol_Grupo1_imp,651,1,2016-05-10T13:48:42.000Z,2016-05-10T13:58:24.000Z,13,2016-05-10T13:51:48.435Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,489,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1999,touch_object,1,1
