uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,1,2016-05-10T18:23:16.174Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,18469,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,5959,touch_object,1,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,2,2016-05-10T18:23:48.598Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,615,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,1842,touch_object,1,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,3,2016-05-10T18:23:58.448Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,904,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3378,touch_object,1,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,4,2016-05-10T18:24:10.064Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,659,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,3476,touch_object,0,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,5,2016-05-10T18:24:21.515Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,280,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,3412,touch_object,0,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,6,2016-05-10T18:24:32.515Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,676,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,13171,touch_object,1,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,7,2016-05-10T18:24:57.535Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,681,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3671,touch_object,1,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,8,2016-05-10T18:25:09.365Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1508,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,3183,touch_object,1,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,9,2016-05-10T18:25:21.415Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,1587,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,2857,touch_object,1,1
F2A4A987BE2D4F6694E171CE9577927C,Unknown,2016-05-10,"",Espanol_Grupo1_imp,670,1,2016-05-10T18:23:14.000Z,2016-05-10T18:32:56.000Z,10,2016-05-10T18:25:33.215Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,6206,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,2654,touch_object,1,1
