word	level	lex
amarillo	entrenamiento	adj
rojo	facil	adj
rayado	dificil	adj
triste	moderado	adj
viejo	dificil	adj
lleno	facil	adj
pesada	moderado	adj
redondo	moderado	adj
limpia	facil	adj
gato	facil	sust
perro	facil	sust
pantalon	facil	sust
avion	moderado	sust
camion	moderado	sust
tren	moderado	sust
boton	moderado	sust
pato	moderado	sust
pinguino	dificil	sust
rio	dificil	sust
grupo	dificil	sust
bolso	dificil	sust
loro	dificil	sust
helicoptero	dificil	sust
nariz	entrenamiento	sust
muneca	facil	sust
boca	facil	sust
casa	facil	sust
bicicleta	moderado	sust
tortuga	moderado	sust
canilla	dificil	sust
lampara	dificil	sust
zapatillas	facil	sust
correr	entrenamiento	verbo
lavar	facil	verbo
jugar	facil	verbo
nadar	dificil	verbo
clavar	dificil	verbo
tocar	facil	verbo
atar	moderado	verbo
inflar	dificil	verbo
saltar	facil	verbo
abrir	entrenamiento	verbo
patear	moderado	verbo
atrapar	moderado	verbo
reir	moderado	verbo
verde	entrenamiento	adj
grande	facil	adj
peludo	dificil	adj
contento	moderado	adj
descalzo	dificil	adj
alto	facil	adj
rota	moderado	adj
oscuro	moderado	adj
sucia	facil	adj
caballo	facil	sust
nene	facil	sust
lapiz	facil	sust
colectivo	moderado	sust
gorro	moderado	sust
barco	moderado	sust
pez	moderado	sust
hombre	moderado	sust
canguro	dificil	sust
bosque	dificil	sust
medico	dificil	sust
mueble	dificil	sust
mosquito	dificil	sust
accidente	dificil	sust
oreja	entrenamiento	sust
mochila	facil	sust
cabeza	facil	sust
comida	facil	sust
tijera	moderado	sust
mariposa	moderado	sust
vela	dificil	sust
empanada	dificil	sust
camas	facil	sust
sonreir	entrenamiento	verbo
comer	facil	verbo
dormir	facil	verbo
pescar	dificil	verbo
barrer	dificil	verbo
romper	facil	verbo
pisar	moderado	verbo
atajar	dificil	verbo
llorar	facil	verbo
tirar	entrenamiento	verbo
arrancar	moderado	verbo
soplar	moderado	verbo
peinar	moderado	verbo
