uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,1,2016-04-21T21:35:12.573Z,0,1,entrenamiento,countryside,1,2,nariz_preg,,oreja_preg,,,,,,1381,nariz_preg,CENTER_LEFT,nariz_preg,CENTER_LEFT,2349,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,2,2016-04-21T21:35:25.033Z,0,1,entrenamiento,countryside,2,2,amarillo_preg,,verde_preg,,,,,,1474,verde_preg,CENTER_RIGHT,verde_preg,CENTER_RIGHT,1545,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,3,2016-04-21T21:35:35.945Z,0,1,entrenamiento,countryside,3,2,sonreir_preg,,correr_preg,,,,,,3061,sonreir_preg,CENTER_LEFT,sonreir_preg,CENTER_LEFT,2168,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,4,2016-04-21T21:35:48.613Z,0,1,entrenamiento,countryside,4,2,abrir_preg,,tirar_preg,,,,,,10057,tirar_preg,CENTER_RIGHT,tirar_preg,CENTER_RIGHT,2737,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,5,2016-04-21T21:36:10.425Z,0,2,block1,beach,1,2,boton_preg,,pez_preg,,,,,,1047,pez_preg,CENTER_RIGHT,pez_preg,CENTER_RIGHT,6574,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,6,2016-04-21T21:36:25.795Z,0,2,block1,beach,2,2,barrer_preg,,clavar_preg,,,,,,18454,clavar_preg,CENTER_RIGHT,clavar_preg,CENTER_RIGHT,6673,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,7,2016-04-21T21:36:58.653Z,0,2,block1,beach,3,2,lavar_preg,,comer_preg,,,,,,7998,lavar_preg,CENTER_LEFT,lavar_preg,CENTER_LEFT,1411,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,8,2016-04-21T21:37:15.543Z,0,2,block1,beach,4,2,pescar_preg,,nadar_preg,,,,,,425,pescar_preg,CENTER_LEFT,pescar_preg,CENTER_LEFT,1171,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,9,2016-04-21T21:37:24.564Z,0,2,block1,beach,5,2,tortuga_preg,,mariposa_preg,,,,,,2299,mariposa_preg,CENTER_RIGHT,mariposa_preg,CENTER_RIGHT,1174,touch_object,1,1
F79EDE06A56D45DF8A62D9FA4D490990,Unknown,2016-04-21,"",Espanol_Grupo1_preg,0,35,2016-04-21T21:35:12.000Z,2016-04-21T21:44:00.000Z,10,2016-04-21T21:37:35.421Z,0,2,block1,beach,6,2,oscuro_preg,,redondo_preg,,,,,,492,oscuro_preg,CENTER_LEFT,oscuro_preg,CENTER_LEFT,1407,touch_object,1,1
