"id"	"school"	"date"	"profile"	"trials_completed"	"trials_attempted"	"pc"	"rt_corr"	"rt_incorr"	"pc_1"	"pc_2"	"rt_1"	"rt_2"	"propLeft"	"bias"	"N_easy"	"N_mod"	"N_diff"	"pc_easy"	"pc_mod"	"pc_diff"	"rt_easy"	"rt_mod"	"rt_diff"	"N_noun"	"N_adj"	"N_verb"	"pc_noun"	"pc_adj"	"pc_verb"	"rt_noun"	"rt_adj"	"rt_verb"	"dob"	"age"	"SES"
"491"	"others"	"2016-05-18"	"Espanol_Grupo1_preg"	41	41	0.780487804878049	1711.5	1865	0.761904761904762	0.8	1638	1767.5	0.439024390243902	0	14	14	13	0.928571428571429	0.714285714285714	0.692307692307692	1745	1835.5	1389	22	8	11	0.954545454545455	0.625	0.545454545454545	1470	1775	2204	NA	NA	"Low"
"492"	"others"	"2016-05-18"	"Espanol_Grupo2_imp"	41	40	0.875	1544	2166	0.95	0.8	1540	2104	0.5	0	14	13	13	0.928571428571429	0.923076923076923	0.769230769230769	1452	1832	2026.5	21	8	11	0.904761904761905	0.875	0.818181818181818	1410	2265	2042	NA	NA	"Mid"
"500"	"cayetano"	"2016-04-27"	"Espanol_Grupo1_preg"	41	40	0.925	2492	NA	0.9	0.95	2554	2454.5	0.5	0	13	14	13	0.846153846153846	0.928571428571429	1	2366	2492	2610	21	8	11	0.952380952380952	0.75	1	2402	2539	2642	2012-09-26	3.58384668035592	"Low"
"501"	"cayetano"	"2016-04-27"	"Espanol_Grupo1_preg"	41	39	0.358974358974359	3393.5	2746	0.25	0.473684210526316	2740	3352	0.461538461538462	0	13	13	13	0.230769230769231	0.615384615384615	0.230769230769231	NA	3464	NA	20	8	11	0.4	0.375	0.272727272727273	3074.5	3990	3352	2012-11-08	3.46611909650924	"Low"
"502"	"cayetano"	"2016-04-27"	"Espanol_Grupo1_preg"	41	41	0.658536585365854	2081	2116.5	0.761904761904762	0.55	2128	2084	0.317073170731707	1	14	14	13	0.857142857142857	0.571428571428571	0.538461538461538	2137.5	2262	1842	22	8	11	0.772727272727273	0.375	0.636363636363636	1925	2076	2579	2012-07-19	3.77275838466804	"Low"
"503"	"cayetano"	"2016-04-27"	"Espanol_Grupo1_preg"	41	41	0.780487804878049	2419.5	3226	0.761904761904762	0.8	2546	2433.5	0.341463414634146	1	14	14	13	0.928571428571429	0.785714285714286	0.615384615384615	2073	2546	2373.5	22	8	11	0.909090909090909	0.5	0.727272727272727	2319.5	2426.5	3219.5	2012-09-16	3.61122518822724	"Low"
"504"	"cayetano"	"2016-04-27"	"Espanol_Grupo1_preg"	41	35	0.657142857142857	2704	3752.5	0.777777777777778	0.529411764705882	3307.5	3291	0.285714285714286	1	14	11	10	0.714285714285714	0.545454545454545	0.7	2416	3430.5	3545	20	7	8	0.75	0.285714285714286	0.75	3070	4303.5	2545.5	2013-03-31	3.07460643394935	"Low"
"505"	"cayetano"	"2016-04-27"	"Espanol_Grupo1_preg"	41	34	0.794117647058823	2841	3444	0.764705882352941	0.823529411764706	2814	3258	0.529411764705882	0	13	11	10	0.846153846153846	0.818181818181818	0.7	3091	2071	3035	18	8	8	0.833333333333333	0.75	0.75	2442	4406.5	3069.5	2012-09-07	3.63586584531143	"Low"
"506"	"cayetano"	"2016-04-27"	"Espanol_Grupo1_preg"	41	41	0.48780487804878	2854	2761	0.476190476190476	0.5	3080	2555	0.0487804878048781	1	14	14	13	0.5	0.5	0.461538461538462	2820	3226	2930.5	22	8	11	0.5	0.25	0.636363636363636	2888	3234	2531	2013-03-26	3.08829568788501	"Low"
"507"	"cayetano"	"2016-05-02"	"Espanol_Grupo2_preg"	41	41	0.878048780487805	1891.5	2014	0.904761904761905	0.85	1891	1941.5	0.51219512195122	0	14	14	13	0.928571428571429	0.785714285714286	0.923076923076923	1891	1890	1927	22	8	11	0.954545454545455	0.5	1	1891	2198.5	1810	NA	NA	"Low"
"508"	"pestalozzi"	"2016-05-12"	"Espanol_Grupo2_imp"	41	36	0.916666666666667	2757	NA	0.944444444444444	0.888888888888889	2458	2760.5	0.444444444444444	0	13	13	10	0.769230769230769	1	1	2246.5	2757	3324	19	8	9	1	0.75	0.888888888888889	2349	3216.5	2864.5	2013-01-02	3.35660506502396	"Mid"
"509"	"pestalozzi"	"2016-05-12"	"Espanol_Grupo2_imp"	41	40	0.975	2105	NA	1	0.95	2142.5	2075	0.45	0	14	13	13	0.928571428571429	1	1	2031	2180	2224	22	8	10	1	0.875	1	2093.5	2224	2103	2013-04-15	3.07460643394935	"Mid"
