thisuuid	sum(data$uuid == thisuuid)	subject_id	config_profile	session_started_at	thisdir	thisf
030A2B44063E4983B9C4B3ECAA200808	46	854	Espanol_Grupo2_imp	2016-04-28T14:05:41.000Z	cayetano	app_session_030A2B44063E4983B9C4B3ECAA200808.csv
056034E5488243298AB43221CA355882	48	505	Espanol_Grupo1_preg	2016-04-27T13:58:53.000Z	cayetano	app_session_056034E5488243298AB43221CA355882.csv
0A3BD71E4B304D638991B2B2D80254CC	47	504	Espanol_Grupo1_preg	2016-04-27T13:43:56.000Z	cayetano	app_session_0A3BD71E4B304D638991B2B2D80254CC.csv
0C94D5C81ADD4FFB89DC0B3558AB1812	46	804	Espanol_Grupo2_preg	2016-04-28T14:05:14.000Z	cayetano	app_session_0C94D5C81ADD4FFB89DC0B3558AB1812.csv
11F167924E274B5FAAC7A2A320BBDCD2	28	755	Espanol_Grupo1_preg	2016-04-27T18:38:03.000Z	cayetano	app_session_11F167924E274B5FAAC7A2A320BBDCD2.csv
187B5FC323C644238121627A472545F7	46	606	Espanol_Grupo2_imp	2016-05-06T12:58:42.000Z	cayetano	app_session_187B5FC323C644238121627A472545F7.csv
1F128837B8344877B033C08B0C1EA87C	46	615	Espanol_Grupo2_preg	2016-05-06T18:44:10.000Z	cayetano	app_session_1F128837B8344877B033C08B0C1EA87C.csv
2296CCA05CD448839058A5837769AADA	45	550	Espanol_Grupo1_imp	2016-04-27T20:18:56.000Z	cayetano	app_session_2296CCA05CD448839058A5837769AADA.csv
25AA294A986644DF8675ED9481977215	46	605	Espanol_Grupo1_imp	2016-04-28T02:49:19.000Z	cayetano	app_session_25AA294A986644DF8675ED9481977215.csv
315BD9FFA6B4476E924C6C8D9ACBD4EB	45	609	Espanol_Grupo2_imp	2016-05-06T13:47:25.000Z	cayetano	app_session_315BD9FFA6B4476E924C6C8D9ACBD4EB.csv
3333D98FE3B64303B415EB6F4214ECD8	47	753	Espanol_Grupo1_preg	2016-04-27T17:58:23.000Z	cayetano	app_session_3333D98FE3B64303B415EB6F4214ECD8.csv
35CA95092F4A47C2A05D914A20C4E365	47	500	Espanol_Grupo1_preg	2016-04-27T12:42:11.000Z	cayetano	app_session_35CA95092F4A47C2A05D914A20C4E365.csv
400BF8027F2E49BBBE4B7F424F24E813	48	803	Espanol_Grupo2_preg	2016-04-28T13:46:37.000Z	cayetano	app_session_400BF8027F2E49BBBE4B7F424F24E813.csv
408399C693F84620BF5070FB801D9B76	46	703	Espanol_Grupo2_preg	2016-05-02T17:02:40.000Z	cayetano	app_session_408399C693F84620BF5070FB801D9B76.csv
41E85274C5E545A78188202D047BEEED	46	607	Espanol_Grupo2_imp	2016-05-06T13:18:26.000Z	cayetano	app_session_41E85274C5E545A78188202D047BEEED.csv
41F860F6277B49E48771EF6D38150877	7	700	Espanol_Grupo2_preg	2016-05-02T13:25:58.000Z	cayetano	app_session_41F860F6277B49E48771EF6D38150877.csv
42846D4FDBAB40F98D8772EB3268CE9B	46	806	Espanol_Grupo2_preg	2016-04-28T16:42:12.000Z	cayetano	app_session_42846D4FDBAB40F98D8772EB3268CE9B.csv
49C63C50BFE54E77B53D4A32D33A8DAC	45	605	Espanol_Grupo2_imp	2016-05-04T00:53:45.000Z	cayetano	app_session_49C63C50BFE54E77B53D4A32D33A8DAC.csv
55CDAD8F40DD49B2B7B06867F1F264AF	46	502	Espanol_Grupo1_preg	2016-04-27T13:12:57.000Z	cayetano	app_session_55CDAD8F40DD49B2B7B06867F1F264AF.csv
644012AC1D184E068617D36C6A17D4C0	45	503	Espanol_Grupo1_preg	2016-04-27T13:26:09.000Z	cayetano	app_session_644012AC1D184E068617D36C6A17D4C0.csv
64832371E9DF4E889CD4854400C5E064	48	853	Espanol_Grupo2_imp	2016-04-28T13:47:14.000Z	cayetano	app_session_64832371E9DF4E889CD4854400C5E064.csv
6B761EF75D7040A19BA339C4EB4655E2	46	556	Espanol_Grupo1_imp	2016-04-27T21:53:02.000Z	cayetano	app_session_6B761EF75D7040A19BA339C4EB4655E2.csv
6BF175AA97444AA3B8E634B08FFCF9D7	50	800	Espanol_Grupo2_preg	2016-04-28T12:55:04.000Z	cayetano	app_session_6BF175AA97444AA3B8E634B08FFCF9D7.csv
