uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,1,2016-07-19T22:30:28.153Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,217,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,6546,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,2,2016-07-19T22:30:42.411Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,1320,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,3451,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,3,2016-07-19T22:30:54.562Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1660,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,2545,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,4,2016-07-19T22:31:06.095Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,716,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,2299,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,5,2016-07-19T22:31:16.397Z,1,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,692,sonreir_imp,CENTER_LEFT,correr_imp,CENTER_RIGHT,2088,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,6,2016-07-19T22:31:26.480Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,676,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,3167,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,7,2016-07-19T22:31:37.647Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1349,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,6117,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,8,2016-07-19T22:31:59.517Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,946,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,3013,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,9,2016-07-19T22:32:10.849Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,871,clavar_imp,CENTER_RIGHT,clavar_imp,CENTER_RIGHT,7703,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,10,2016-07-19T22:32:26.717Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,723,lavar_imp,CENTER_LEFT,lavar_imp,CENTER_LEFT,5724,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,11,2016-07-19T22:32:40.467Z,0,2,block1,beach,4,2,pescar_imp,,nadar_imp,,,,,,1027,pescar_imp,CENTER_LEFT,pescar_imp,CENTER_LEFT,4687,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,12,2016-07-19T22:32:53.501Z,0,2,block1,beach,5,2,tortuga_imp,,mariposa_imp,,,,,,768,mariposa_imp,CENTER_RIGHT,mariposa_imp,CENTER_RIGHT,2659,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,13,2016-07-19T22:33:04.219Z,0,2,block1,beach,6,2,oscuro_imp,,redondo_imp,,,,,,588,oscuro_imp,CENTER_LEFT,redondo_imp,CENTER_RIGHT,4393,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,14,2016-07-19T22:33:16.489Z,0,2,block1,beach,7,2,pinguino_imp,,canguro_imp,,,,,,870,canguro_imp,CENTER_RIGHT,canguro_imp,CENTER_RIGHT,1864,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,15,2016-07-19T22:33:26.520Z,0,2,block1,beach,8,2,lleno_imp,,alto_imp,,,,,,1123,alto_imp,CENTER_RIGHT,alto_imp,CENTER_RIGHT,2894,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,16,2016-07-19T22:33:37.837Z,0,2,block1,beach,9,2,inflar_imp,,atajar_imp,,,,,,1399,inflar_imp,CENTER_LEFT,atajar_imp,CENTER_RIGHT,4202,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,17,2016-07-19T22:33:50.705Z,0,2,block1,beach,10,2,colectivo_imp,,avion_imp,,,,,,825,avion_imp,CENTER_RIGHT,avion_imp,CENTER_RIGHT,2016,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,18,2016-07-19T22:34:00.839Z,0,2,block1,beach,11,2,caballo_imp,,gato_imp,,,,,,1072,caballo_imp,CENTER_LEFT,caballo_imp,CENTER_LEFT,1996,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,19,2016-07-19T22:34:11.222Z,0,2,block1,beach,12,2,peludo_imp,,rayado_imp,,,,,,2462,peludo_imp,CENTER_LEFT,rayado_imp,CENTER_RIGHT,2435,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,20,2016-07-19T22:34:23.390Z,0,2,block1,beach,13,2,helicoptero_imp,,accidente_imp,,,,,,2295,accidente_imp,CENTER_RIGHT,helicoptero_imp,CENTER_LEFT,2456,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,21,2016-07-19T22:34:35.424Z,0,2,block1,beach,14,2,casa_imp,,comida_imp,,,,,,1223,comida_imp,CENTER_RIGHT,comida_imp,CENTER_RIGHT,2096,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,22,2016-07-19T22:34:52.163Z,0,3,block2,mountain,1,2,rio_imp,,bosque_imp,,,,,,698,rio_imp,CENTER_LEFT,bosque_imp,CENTER_RIGHT,2147,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,23,2016-07-19T22:35:02.358Z,0,3,block2,mountain,2,2,rojo_imp,,grande_imp,,,,,,1283,rojo_imp,CENTER_LEFT,grande_imp,CENTER_RIGHT,4147,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,24,2016-07-19T22:35:15.076Z,0,3,block2,mountain,3,2,tijera_imp,,bicicleta_imp,,,,,,745,bicicleta_imp,CENTER_RIGHT,bicicleta_imp,CENTER_RIGHT,2022,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,25,2016-07-19T22:35:25.160Z,0,3,block2,mountain,4,2,atar_imp,,pisar_imp,,,,,,499,pisar_imp,CENTER_RIGHT,pisar_imp,CENTER_RIGHT,6238,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,26,2016-07-19T22:35:39.194Z,0,3,block2,mountain,5,2,romper_imp,,tocar_imp,,,,,,2337,romper_imp,CENTER_LEFT,tocar_imp,CENTER_RIGHT,7152,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,27,2016-07-19T22:35:55.962Z,0,3,block2,mountain,6,2,hombre_imp,,pato_imp,,,,,,792,hombre_imp,CENTER_LEFT,hombre_imp,CENTER_LEFT,2860,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,28,2016-07-19T22:36:06.913Z,0,3,block2,mountain,7,2,grupo_imp,,medico_imp,,,,,,516,medico_imp,CENTER_RIGHT,medico_imp,CENTER_RIGHT,4290,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,29,2016-07-19T22:36:19.046Z,0,3,block2,mountain,8,2,viejo_imp,,descalzo_imp,,,,,,689,viejo_imp,CENTER_LEFT,descalzo_imp,CENTER_RIGHT,5598,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,30,2016-07-19T22:36:32.632Z,0,3,block2,mountain,9,2,boca_imp,,cabeza_imp,,,,,,395,cabeza_imp,CENTER_RIGHT,cabeza_imp,CENTER_RIGHT,2615,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,31,2016-07-19T22:36:42.948Z,0,3,block2,mountain,10,2,gorro_imp,,camion_imp,,,,,,1023,gorro_imp,CENTER_LEFT,camion_imp,CENTER_RIGHT,3542,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,32,2016-07-19T22:36:54.799Z,0,3,block2,mountain,11,2,rota_imp,,pesada_imp,,,,,,1751,rota_imp,CENTER_LEFT,rota_imp,CENTER_LEFT,3830,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,33,2016-07-19T22:37:07.682Z,0,3,block2,mountain,12,2,sucia_imp,,limpia_imp,,,,,,1037,limpia_imp,CENTER_RIGHT,limpia_imp,CENTER_RIGHT,2214,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,34,2016-07-19T22:37:18.216Z,0,3,block2,mountain,13,2,canilla_imp,,vela_imp,,,,,,757,canilla_imp,CENTER_LEFT,vela_imp,CENTER_RIGHT,2526,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,35,2016-07-19T22:37:28.783Z,0,3,block2,mountain,14,2,lapiz_imp,,pantalon_imp,,,,,,870,lapiz_imp,CENTER_LEFT,lapiz_imp,CENTER_LEFT,2112,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,36,2016-07-19T22:37:51.847Z,0,4,block3,desert,1,2,mueble_imp,,bolso_imp,,,,,,2921,bolso_imp,CENTER_RIGHT,bolso_imp,CENTER_RIGHT,4364,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,37,2016-07-19T22:38:06.552Z,0,4,block3,desert,2,2,muneca_imp,,mochila_imp,,,,,,273,mochila_imp,CENTER_RIGHT,mochila_imp,CENTER_RIGHT,2653,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,38,2016-07-19T22:38:16.786Z,0,4,block3,desert,3,2,perro_imp,,nene_imp,,,,,,539,perro_imp,CENTER_LEFT,perro_imp,CENTER_LEFT,2329,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,39,2016-07-19T22:38:26.937Z,0,4,block3,desert,4,2,patear_imp,,arrancar_imp,,,,,,787,arrancar_imp,CENTER_RIGHT,arrancar_imp,CENTER_RIGHT,9174,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,40,2016-07-19T22:38:44.204Z,0,4,block3,desert,5,2,llorar_imp,,saltar_imp,,,,,,1188,saltar_imp,CENTER_RIGHT,saltar_imp,CENTER_RIGHT,3237,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,41,2016-07-19T22:38:55.922Z,0,4,block3,desert,6,2,triste_imp,,contento_imp,,,,,,193,triste_imp,CENTER_LEFT,contento_imp,CENTER_RIGHT,1998,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,42,2016-07-19T22:39:05.406Z,0,4,block3,desert,7,2,lampara_imp,,empanada_imp,,,,,,701,lampara_imp,CENTER_LEFT,empanada_imp,CENTER_RIGHT,1839,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,43,2016-07-19T22:39:15.207Z,0,4,block3,desert,8,2,jugar_imp,,dormir_imp,,,,,,1720,dormir_imp,CENTER_RIGHT,dormir_imp,CENTER_RIGHT,2247,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,44,2016-07-19T22:39:26.474Z,0,4,block3,desert,9,2,barco_imp,,tren_imp,,,,,,1993,barco_imp,CENTER_LEFT,barco_imp,CENTER_LEFT,3084,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,45,2016-07-19T22:39:38.824Z,0,4,block3,desert,10,2,atrapar_imp,,soplar_imp,,,,,,962,atrapar_imp,CENTER_LEFT,soplar_imp,CENTER_RIGHT,6490,touch_object,0,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,46,2016-07-19T22:39:53.559Z,0,4,block3,desert,11,2,mosquito_imp,,loro_imp,,,,,,1097,loro_imp,CENTER_RIGHT,loro_imp,CENTER_RIGHT,1910,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,47,2016-07-19T22:40:03.876Z,0,4,block3,desert,12,2,zapatillas_imp,,camas_imp,,,,,,1252,zapatillas_imp,CENTER_LEFT,zapatillas_imp,CENTER_LEFT,2562,touch_object,1,1
1A4C120389364BCE9E292AF3E8FD2BA2,Unknown,2016-07-19,"",Espanol_Grupo1_imp,623,1,2016-07-19T22:30:26.000Z,2016-07-19T22:40:36.000Z,48,2016-07-19T22:40:14.977Z,0,4,block3,desert,13,2,peinar_imp,,reir_imp,,,,,,347,reir_imp,CENTER_RIGHT,peinar_imp,CENTER_LEFT,3449,touch_object,0,1
