uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,1,2016-07-29T23:24:48.988Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,498,oreja_imp,CENTER_RIGHT,oreja_imp,CENTER_RIGHT,17355,touch_object,1,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,2,2016-07-29T23:25:14.631Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,3107,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,3018,touch_object,0,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,3,2016-07-29T23:25:28.042Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,341,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,2707,touch_object,0,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,4,2016-07-29T23:25:38.375Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1834,amarillo_imp,CENTER_LEFT,verde_imp,CENTER_RIGHT,4258,touch_object,0,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,5,2016-07-29T23:25:51.742Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1636,amarillo_imp,CENTER_LEFT,amarillo_imp,CENTER_LEFT,2698,touch_object,1,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,6,2016-07-29T23:26:03.377Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,1004,correr_imp,CENTER_RIGHT,correr_imp,CENTER_RIGHT,13876,touch_object,1,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,7,2016-07-29T23:26:25.545Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,1424,abrir_imp,CENTER_LEFT,tirar_imp,CENTER_RIGHT,4230,touch_object,0,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,8,2016-07-29T23:26:38.479Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,4687,abrir_imp,CENTER_LEFT,abrir_imp,CENTER_LEFT,5034,touch_object,1,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,9,2016-07-29T23:27:01.662Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,3470,boton_imp,CENTER_LEFT,pez_imp,CENTER_RIGHT,7323,touch_object,0,1
3921276EC19544DC9952624E142A945E,Unknown,2016-07-29,"",Espanol_Grupo2_imp,541,2,2016-07-29T23:24:46.000Z,2016-07-29T23:43:30.000Z,10,2016-07-29T23:27:19.831Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,1171,barrer_imp,CENTER_LEFT,clavar_imp,CENTER_RIGHT,3622,touch_object,0,1
