uuid,device,date,config_scenario,config_profile,subject_id,session_number,session_started_at,session_ended_at,trial_number_session,trial_started_at,repetition,level_number,level_name,level_background,stage_number,objects_count,object1_name,object1_touch_diff_time,object2_name,object2_touch_diff_time,object3_name,object3_touch_diff_time,object4_name,object4_touch_diff_time,mandy_touch_diff_time,object_asked,object_asked_position,object_touched,object_touched_position,object_touched_at,stage_end,correct,feedback
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,1,2016-07-29T15:30:09.074Z,1,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,503,nariz_imp,CENTER_LEFT,oreja_imp,CENTER_RIGHT,1579,touch_object,0,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,2,2016-07-29T15:30:18.739Z,0,1,entrenamiento,countryside,1,2,nariz_imp,,oreja_imp,,,,,,25,nariz_imp,CENTER_LEFT,nariz_imp,CENTER_LEFT,1393,touch_object,1,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,3,2016-07-29T15:30:27.521Z,1,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,1092,verde_imp,CENTER_RIGHT,amarillo_imp,CENTER_LEFT,2293,touch_object,0,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,4,2016-07-29T15:30:38.200Z,0,1,entrenamiento,countryside,2,2,amarillo_imp,,verde_imp,,,,,,542,verde_imp,CENTER_RIGHT,verde_imp,CENTER_RIGHT,4280,touch_object,1,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,5,2016-07-29T15:30:50.317Z,0,1,entrenamiento,countryside,3,2,sonreir_imp,,correr_imp,,,,,,63577,sonreir_imp,CENTER_LEFT,sonreir_imp,CENTER_LEFT,4785,touch_object,1,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,6,2016-07-29T15:32:05.972Z,1,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,530,tirar_imp,CENTER_RIGHT,abrir_imp,CENTER_LEFT,5650,touch_object,0,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,7,2016-07-29T15:32:19.439Z,0,1,entrenamiento,countryside,4,2,abrir_imp,,tirar_imp,,,,,,120,tirar_imp,CENTER_RIGHT,tirar_imp,CENTER_RIGHT,3755,touch_object,1,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,8,2016-07-29T15:32:32.372Z,0,2,block1,beach,1,2,boton_imp,,pez_imp,,,,,,355,pez_imp,CENTER_RIGHT,pez_imp,CENTER_RIGHT,1257,touch_object,1,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,9,2016-07-29T15:32:41.357Z,0,2,block1,beach,2,2,barrer_imp,,clavar_imp,,,,,,265,clavar_imp,CENTER_RIGHT,barrer_imp,CENTER_LEFT,1306,touch_object,0,1
3EB05A7243414BEF8013968180EA463C,Unknown,2016-07-29,"",Espanol_Grupo1_imp,538,5,2016-07-29T15:30:08.000Z,,10,2016-07-29T15:32:50.191Z,0,2,block1,beach,3,2,lavar_imp,,comer_imp,,,,,,678,lavar_imp,CENTER_LEFT,comer_imp,CENTER_RIGHT,2857,touch_object,0,1
